Region 4,,Region 1,,Region 3,,Region 2,
"Life is not always easy, but it is worth it. If you ever need anyone to talk to about what is going on, I am always willing to listen.",I care about your well being and I think that you should go talk to a professional about your thoughts. I am willing to go with if you need support.,You and a battle buddy go take the rest of the day off and grab some food or go to the movies and relax. Take some time for your mental health to unwind and refocus.,You are the best soldier we have in this platoon and your hard work and energy are essential for this platoon. Don't ever think that we take you for granted. ,"That is difficult to deal with, but you need to keep pushing through and showing the same effort.","I understand that you are struggling, but that is not excuse for you to let your work slip through the cracks.",I don't care what is going on in your personal life. You need to show better results at work or I am going to have to counsel you.,You need to find a way to separate your work and personal lives. It is unacceptable to let that affect what you do here on a day to day basis.
"I am so sorry to hear this. I am here for you anytime. Here is my number, I want you to call me if you are having any of those thoughts again. ","We all go through tough times. I want you to reach down inside yourself and find the things that bring you joy and peace. Also, come talk to me anytime you are having a hard day.",I am so sorry you are feeling this way. I am planning on going to the movies this weekend would you like to join?,"I had no idea this was going on. I am here if you need an ear, here is my number, call me anytime. Just remember you are not alone.",We all go through hard times. Here are some numbers for suicide lines. Make sure to call them the next time you are feeling down.,"I am sorry you are having these issues, next time talk to your battle buddy.",Don't be a weak little bitch. Get your shit together.,"For the love of God, we all go through hard times. Get yourself together soldier. "
"Similar things have happened in my life as well, but nothing that happens to you makes you less worthy to be alive. Let me call someone to help you out",Life has lots of ups and downs and you just have to ride the waves. There are people here who need you. Let me put you in contact with someone who can help you,You can't give up on yourself now. You are about to be promoted because of your good performance if you can get back to your usual self.,"You are very important to this unit. In fact, I need you to work on a very important project that will give you a chance to prove yourself. We really need your skills on this one.",You're right. Life sucks sometimes and there's nothing you can do about it.,Relationships are never going to last. It's probably for the best that things went this way.,Maybe your fiancée wouldn't have left you if you were just better at things. You should have known what to do to keep her around.,Your parents were probably never meant to be. Maybe they just kept it together to protect you from getting your feelings hurt since they know you're not the toughest guy around
Explain to the SFC that everyone goes through tough times and will eventually get out,Have SFC explain his situation to get it off his chest,Provide confidence in your men and tell them that hey without yalls energy and hard work will overcome anything,Give lecture on tough times and give sfc the rest of the day off,Scold SFC for allowing emotions of home to affect work,Question SFC why he let himself get this far down,Get SFC heated about his life and send him away afterwards,"
Have SFC yell his frustration out at me"
"PFC, there are program here available to us. We can get you help.","PFC, part of growing up is encountering hardship. I will make sure you are able to get the help you need. ","PFC, sometimes things don't work out the way we planned. You are an excellent soldier though, who has a successful career ahead of you. Invest in yourself. ","PFC, you are intelligent and hard working. You're so young, and have so many possibilities laying ahead of you. Although what has happened right now might make you sad right now, it will not make you sad forever. Focus on making you a better you.",It really doesn't get worse than that.,That sucks.,I cannot believe your fiance would do that to you.,She's probably been cheating the entire time. That's common in the military.
Go ahead and take a week off. Take a mini vacation. Life may suck now but the truth is that its only one small element of it. Don't throw that life away just because of setback.,You're an integral part of this unit. Let the army be your family for a while. We need you just as much as you are going to need us.,"Take a week off. Take a mini vacation. The people in your life may have some issues, but look inwards. You have a great stable job, you're in good health, and now you have a surprise paid week vacation.",Take a week off and take a trip to the beach. Think about all the things YOU have done right. You aren't your parents or you fiance. Maybe you should choose to live for you for a while. ,Yeah that sucks,Wow. I'm sure glad I don't have those problems.,Maybe your fiance left you because you're ugly.,"Get over yourself, life is cruel."
"PFC Lewis, you've been a great soldier in this unit. This is temporary life difficulty and you will get over it.",You are a tough soldier and can get through anything. It will pass and you will be stronger for it.,PFC Lewis the Army has put in your promotion and we want to send you to the board. You have quite a terrific career ahead of you.,PFC Lewis you are the best soldier here. Anything you need I'll help get you.,"This is just part of life, we all deal with it, get over it.",Stop letting it affect you. I expect the same great performance as before.,"If you continue acting this way this way, the unit will think you are a terrible soldier.",I always suspected you were not a strong soldier. You don't have what it takes to be here.
"PFC Lewis, I know you are having hard time recently and I do believe that you deserve to take some rest to sort things out. ","PFC Lewis, please let me know anything that I can help you. I will try my best to help you.","PFC Lewis, I believe in you that you can handle things better. We are all in the army and I know that you are my best in the team. Please come back to the man that I trust.","PFC Lewis, please do not let your emotion take over your work. You are professional and we all know that you should not be driven by anything else. I trust you and it is our time to shine our work. Let's go!","Spc Lewis, you are pathetic. I can't believe that you let your personal life affect your army career. If you think you are that much special, get the fuck out from my sight.","SPC Lewis, I am deeply disappointed with you and I do not want to hear it ever again. Just suck it up and prove that you are a soldier.","PFC Lewis, I do not give a fuck about your personal life. Shut up and work.","PFC Lewis, if you don't push yourself and come back as you were before, I will fuck you up."
"Lewis, thats never the answer. Parents divorcing is tough, I've been there, but theres always a light at the end of the tunnel.","My mother always told me that life is a path, and that everything happens for a reason. These things may look bad now, but you will pull through this and something great is waiting for you on the other side.","Lewis, what do you do for fun outside work? What's your passion, tell me about it. ",,"Well, life sucks sometimes, but you can't let it affect your work. Don't be late again.","I don't care about your problems, I care about unit performance, you are bringing the whole unit down right now, you need to get your head straight.","You think I care about your problems! You are making me look bad out there, you need to stop whining and get over it!","Wah, wah, wah, poor me. We all have problems. Suck it up."
PFC,,,,,,,
"I've been in almost the exact same position as you, as long as you keep working hard everything will get better. I'm going to make sure we get you the help you need to get past this. ",I'm here for you as is the whole platoon. Let's talk through these issues right now.,I know what kind of a man you are and you will get through this and excel in my platoon. I believe in you.,I want to know what you need to get through this. I'm committed to helping you.,When it rains it pours.,Sometimes life isn't fair.,It's probably your fault.,Have you ever stopped to think that you're the common denominator.
Hey this is a period most people go through. Just keep pushing and you'll be feeling better in no time,Let's make a plan so you can focus on bettering yourself and youll be out of this slump in no time,Lets get all the guys together for a basketball game. Some distraction is all you need right now!,Hey youre doing really great. You have a promotion coming up so lets go celebrate,"I dont think you're good for my unit, Im gonna start the transfer paperwork to get you away from my guys","you have alot of work to do today, so maybe instead of complaining you get to it",Im sure your fiancee left you because youre not a hard worker. so get back to work now ,nothings gonna change if you keep being like this. get out of here before i really get angry
"PFC, you are not alone in this. There are many resources out there that can help you in your situation. ",I have been in a similar situation and experienced similar emotions. Let us talk about possible solutions. ,"Don't worry, things will get better soon!
","Let me give you some time off, so you can sort some things out!","I can understand why you feel this way, life really sucks.",,It is your responsibility to be on time no matter how bad your private life is!,You failed at separating your professionalism from private life. 
"Private, I'm extremely sorry to hear this and I want to let you know that you have the support of the entire platoon. ",This platoon is family so that means you are family. You're a great soldier with a positive future  ahead. Soldier through you're issues like I know you can and if you need any help let me know. We're here for you.,Get your head out of the gutter Private. You're one of my best soldiers and have a great future ahead of you. Soldier on and know that you have any resource available to the unit. ,"Private, please let me know if there's anything you need because you're one of my best soldiers who's in line for a promotion and you deserve all the assistance you need.","I can't believe I'm hearing this. This is not what I expected of you. Get a handle of yourself, you're in the US Army.",You are a soldier private. The army expects more of you. You were doing so great.,"Private, do you think you're still in high school or something? You are serving in the Army and have a great future ahead of you. Don't mess that up and find some motivation.","Are you kidding me, Private? Chin up because I can't have one of my best soldiers having boo boo faces."
"Hey Lewis, you are one of the best Soldiers I have in this platoon. I know this tough but I'll help you out any way I can.","Lewis, I know it's bad now, but we have programs and people that can help you through this. I'll help you bounce back from this.","Lewis, you've been through a lot but I know that you can come through this stronger than before. You just have to keep your head up.","I know it's tough right now, but don't forget you have a lot of people in the platoon who will help you through this.","You are going through a rough patch, but that's no reason to give up.",What kind of talk is that? Keep taking it step by step and you'll be okay.,You're one of my best Soldiers and I need you at your best right now.,I don't want to hear this type of talk. I need you focused on the mission.
"PFC, with the way you are feeling and what you have told me, we need to get you an appointment with a counselor immediately.","PFC, you are one of the best soldiers in my unit and we will get this taken care of together.",,"PFC, take the rest of the day off to relieve some stress and i will set you up an appointment with a counselor immediately.","PFC, do you think that even though you are having a tough time at home that its okay for you to slack off at work?","PFC, there is no excuse for this type of behavior, i expect more from you and i am disappointed.","PFC, if you continue this behavior I may have to recommend separation from the army for your unprofessional behavior.","PFC, if this behavior does not get corrected immediately, you will not like the consequences."
there are things we face in life but never forget to always move forward and things will workout for you. stay strong.,my parents split up to so i have been through this and i am here for you and always will be.,i understand what you are going through. you are a great soldier and have so much potential and to quit is not acceptable. i need you in my ranks. the Platoon needs you.,would you like to go home this weekend to visit your family and catch up with them.,thats not a good sitation. i wish i could help you but theres nothing i can do.,sorry to hear that but you are a soldier now. there is no room for wakness,you are a baby. stuff happens and life goes on. i suggest you suck it up.,i dont have time for this. just do what you are supposed to do or i will take matters into my own hands.
Not everyone is meant for each other. Most of the time the end of one thing means the beginning of something greater. You saved yourself from making a mistake with a person who did not appreciate you.,"Love is complicated but it takes time. You deserve someone greater than your ex. As for your parents, people get tired of each other and need a break. Once they work it out it will be ok. Things look worse at first, but always gets better in the end. ",Your parents are adults and will figure out their issues. You need to focus on yourself and know that your life matters.,You have so much to live for. Your parents need you. Your unit needs you. You have impacted so many lives that we cannot make it without you.,Maybe it is for the better that you didn't get married. You could have ended up like your parents. ,Life is life. You never know what could happen. Love is hard but their are other fishes in the sea. ,Your fiance never loved you to begin with. Your parents made a mistake but took too long to see that. At least you can try to avoid it in your next relationship.,Love comes and goes. You should move on quickly like your fiance did. Don't take it to heart. 
"If you want me to set up an appointment with a counselor, lets get that taken care of right away.",I'm sorry for all the trouble that you are experiencing right now. Is there anything that I can do to help you?,"PFC, why don't you take the rest of the day off to relax. Get a hold of a couple of buddies and get together. It might help to get away from work for a little while","If you need some time off to visit your family, please let me know and we can work something out. ","I'm sorry that you are going through some rough times, but we need you to keep up the high performance here at work. ","We've all gone through some hard times, but you have to just work through them.","Look, I'm not looking for excuses, I want results. ","I'm going through a divorce myself, but you don't see my performance slipping at all. You need to focus on your work or there will be consequences."
"Lewis, you are a leader in your squad and a great motivator. We need you and you have a great purpose here.",We are going to have a couple meetings a week so that I can check on you and so that you can talk these things out. I care about you and I need the positive influence you share for your squad. ,"You are an incredible soldier and a lot of the other privates look up to you. What you have been going through not a lot of people could handle, I respect how you have been able to keep it all together.",That sounds really tough but if anyone can get through it I know that you can! You are one of the hardest workers in the company and if you need any help making it through this I will be here for you.,,,,
I understand the trouble you're going through. A lot of people go through the same issues. I am sorry this is all happening at the same time.,That is a rough few weeks PFC. I am sorry to hear about your troubles. If there is anything I can do to help you out please let me know.,Please take the day off to relax. I will talk to your squad leader and make sure he goes a little easier on you during this tough time.,"You will get through this. Just hang in there, I know things will get better. I believe you are even up for promotion soon.","Hey everyone has problems, it's just the way life goes.","Come on get over it, there are much worse things that could happen in this world.","Your behavior is unacceptable. I don't care what kind of problems you're having, deal with them.","Stop being so down. You need to get over these problems, move on, and go back to doing your job."
"PFC Lewis, thank you for feeling confortable enough with me to share that. I know it isn't easy to talk about and I will do my best by you to give you the resources you need. Have you confided with a battle buddy?",,I am impressed by how brave you are to announce that to me. Keep strong and know that I am always here to support you. What can I do for you now?,,I am not here to listen to problems you are having at home. That doesn't apply to work and I know it is hard but you need to go talk to a counselor.,,I don't care that your parents divorced and that your fiance left you. All I care about is you not being late to formation and getting the work accomplished that you need to get done. ,Report to CQ duty on the last shift of the morning so I know you won't be late.
"Private, the Army has great resources to address these types of issues and thoughts. Let's explore them together.","Private, hang in there. Everything will be OK.",Private. You are one of the best solider I have seen. I have seen to conquer a lot of things. You will get through this.,I will tell Sgt. to take it easy on you. Take some time off.,Family issues are not acceptable excuses to be late to formation. You have a duty to your country. ,"I know what you may be going through it tough, but you will have to suck it up. We cannot afford these types of duds. ","Private, if you are late to formation again, I am recommending you for an Article 15. Dismiss!",Who the Hell do you think you are? So you can show up to formation whenever? Get the Sgt in here. Now!
I can understand that. I just want you to know that we are here for you and that you are doing a great job overall. ,I appreciate you telling me these things and I would like to get you some time off in the next few days. ,It makes sense that you are a little depressed but you may not have noticed how great you are doing around here. Keep up the good work. ,We all get down sometimes. You are a key asset to our team. ,Yeah life sucks. I know how you feel. ,I understand. ,I don't care about what is going on in your life I just want you here on time. ,No excuses just results. Thank you. 
"I'll tell you this private, you're one of the best performing soldiers in this platoon. I have faith in your ability to be strong, and keep going. Might I consider you take a couple days off and relax, plan a vacation somewhere. You deserve it, really.",,"Private, you are one of the best damn men I have in this unit. You deserve only the best, if things didn't work out with your fiance, you will find better. In fact, your next assignment will be to take a week or so off, blow off some steam, and relax.",,"Private are you really letting your emotions get the best of you? Honestly, you're better than this, you have to get over it. I wouldn't have ever thought that one of the best men in this unit, would turn out to be so soft. ",,"Private are you serious? This is the Army, we don't have time or space for individuals, especially individuals who let emotions get the best of them. Don't make me have to counsel you for being emotionally unstable. Get back to work.",
"PFC Lewis, you have been one of the best soldiers I have ever had. These types of things happen to good and bad people. Do not blame yourself. You are an excellent soldier and I will always be here if you ever need help.","PFC Lewis, I am glad that you confided this in me because I was really worried about you and I know that you are a great soldier and man. If you ever have these feelings please keep me informed, I truly care about you.","PFC Lewis, I completely understand what you are going through. You are an amazing soldier and I know you can get through this!","PFC Lewis, thank you for telling me this! You are an amazing and hard working soldier. If you need to take leave during this time, do so.","PFC Lewis, please stop telling me excuses for lazy and insubordinate behavior because it makes me completely bored.","PFC Lewis, this happened to me as well and guess what, I got over it.","PFC Lewis, you sound like a limp noodle. Who cares about your fiance or your family. The army is your family, grow up.","PFC Lewis, I don't care about your issues because there are so many others like you. You are just another number to me."
,,,,,,,
"PFC. There are plenty of resources for you to reach out 
to if you feel overwhelmed. I can tell you that asking for
help is not a sign of weakness and the Leadership will help
in every way we can to ensure you are ok.","PFC. Asking for help when feeling this low is OK, and will
not impact your career in any way. I want you to know we 
are here to support you in every way possible.","PFC, I will talk to you SGT to let them know you are
taking some time off to deal with your personal matters.
I want you to focus on yourself. I will also talk to the 
Chaplain to let him know you are coming to see them for assistance.","PFC, I want you to go home for the rest of the day. Relax 
and I will talk to your leadership about what can be done 
to help you. This is in no way your fault and you are not
alone. We will ensure you make it okay.","PFC, your personal issues should not affect your work 
performance. Next time I hear about this, it will be 
more than a counseling.","PFC, you can worry on your own time. The only focus you 
should have during work hours is WORK. You can address your
issues on your own time.","PFC, I don't care to hear about your sob stories. There's
nothing you could have done probably. Now go back to work 
and I want to hear nothing about this again.","I am going to need you to stop being weak and go back to 
work. This is ridiculous and we have no time for this."
I'm sorry to hear you are dealing with these issues. It's not easy and know that I'm here for you. Take the day off and lets talk about this one on one.,I understand that you may need some time to help get through this. Let me know how I can help and we can ask the chaplain to get involved.,Thanks for telling me what's really going on in your life. I value your work and you are one of my best soldiers. I'm not going to hold the low performance of these past few weeks against you. ,I understand what you're going through but I need you to not let this affect your work. I need you to be the best soldier you can be. ,I can't have you carrying over your problems in the platoon . You're one of my best soldiers and you're not meeting the standard. ,"You need more mental toughness and resiliancy. Stop feeling sorry for yourself, everyone has problems.","I know you are sad and depressed, but why are you letting this affect your work?",I know you are going through some things but we have a deployment in 5 months and I need everyone ready to go. 
,,,,,,,
"PFC, you are not alone in this.  The platoon is your family when you are here.  We have each others backs an we will help you get though this difficult situation.","PFC, I know things seem impossible right now however we have tools we can use to help you work though the darkness now and help you walk back toward the light.  You are a great soldier and we are always here to help you and stand with you.",Even though thing seem hard right now I want you to know that I and the rest of the platoon are here for you and we will do anything we can to help you get through this challenging situation.,When the road gets tough the tough get going an you are one of the toughest I have had the pleasure of leading you are a strong young man an can get though this.  If you need help we are always here for you.,That is a really hard situation but I need you to separate work stuff from family stuff and focus on the task at hand.,You were a good soldier; you need to figure out your personal stuff on your own time an get your job one.,"PFC, stop feeling sorry for yourself an get to work.","PFC, you need to learn to keep the home life and the work life separate."
Lewis you are a good soldier with a great future ahead. These tough times will pass. Keep your head up and continue to do a good job.,I am sorry to hear about your troubles. I am here to talk to anytime you need someone to talk with. There are several programs that can help as well.,Don’t let any of that get you down. You are a great soldier.,I think you should take a few days and refit. You are a good soldier under a lot of stress. I know with time and the proper help you will be alright and back to the same high standard you set as before., I don’t want to hear about any of that. Either you continue to produce at work or there will be serious consequences.,That is no excuse for your performance here lately. Get it together!,"I don’t want to hear any excuses, either you perform or you get counseled.",You are failing your professional and personal life. That is on you.
"these things people go through at times, would you be willing to sit down and talk to someone to figure this tuff out?","sounds like you’ve got a lot of stress going on, what can I do to help?","How about we get you into some of the high-speed training you’ve wanted, maybe that will help get your mind off your problems, and head back in the game.",don’t bring your home life to work. That is how you get people killed.,your actions are unacceptable. If the persist formal action will be taken,"Nothing you do will help anything going on in your current situation, and you are on KP duty for the week.","your fiancé wasn’t that attractive,  aren’t your parents really old anyways?","nothing you can do will help your parents, and your fiancé was a loser."
,,,,,,,
I can understand that life threw you a curve ball but understand that things will get better. Your battle buddies are here for you. If you need to call someone. I can help you get help.,You are a good soldier and life will be rough sometimes. If you need to talk to someone my door is open or I can help you go to the chaplain.,I think you should go talk to someone and I’ll look into getting a pass so you can get away from all the stress.,"After you talk to someone about these issues, go on a nice vacation with some battle buddies and forget about your worries for a while.",I do not know what to do for you. Go talk to the chaplain.,You need to separate your personal life from your work life.,You need to grow up. Life happens and we are not in the business to care about your personal life. There are other people for that.,You are getting a negative counseling for dropping in your performance.
remember the worst is behind you,"PFC, you are not alone in this.  The platoon is your family when you are here.  We have each others backs an we will help you get though this difficult situation.",There are reasons for divorce and maybe divorce makes both your parents happier.,Even though thing seem hard right now I want you to know that I and the rest of the platoon are here for you and we will do anything we can to help you get through this challenging situation.,"sorry to hear about your parents, that sucks",That is a really hard situation but I need you to separate work stuff from family stuff and focus on the task at hand.,divorce rates are really high anyway,"PFC, stop feeling sorry for yourself an get to work."
Thank you for letting me know this important matter.  Please take some days off to deal with this and keep me updated on this.  ,"If you need to see someone professionally, regarding the issue of taking your life, let me know immediately.  This is a serious issue and you are a part of our family and we want to help you and keep you safe.",Take as much time as you need off.  Go and spend time with friends and loved ones to help you get through this tough time.,I will go personally with you to go and see a psychiatrist so you can start feeling better.  Please let me know if there is anything else that I can do for you.,Don't do anything as he is already in this current state.,Ditto.,Tell the candidate to suck it up and that his fiance leaving him is nothing new in the Army.  ,And we can find more work/responsibilities to take his mind off his troubles.
We are here for you man. Here are some resources.,"I want to help wherever I can. Here are some resources. Also, if you ever need to talk, please come by.",Im sorry man. That really does suck. Rely on your peers and we will help you through it.,I get it. I went through the same thing. We are all here for you. Please talk to us about it though.,"Ok, but you need to leave that at home.","If you keep it up, we will have to chapter you out.",It doesn't matter. You have a job and need to perform that job.,"Quit focusing on everything negative and get it together. Thats just life, man."
"Don't say things like that private. You are one of the best soldiers in this platoon, and have been doing well till recently.  It'll be a real shame if you were gone.",I see you need some help. We'll get you in contact with someone who can help you and for you to talk to. ,"I understand, but that's no reason to kill yourself. You're one of the best and this platoon could use more soldiers like you!",Hey we all feel like that from time to time. If you need anything just ask and I'll see what I can do to help you.,"I understand, but you are starting to slack off and loosing yourself in this problem you have. You need to start working on your emotions and get back to performing optimally.",Don't start talking about killing yourself. How do you think your fellow soldiers will react when they hear about you passing away?,"You need to get over it. Life happens and you need to move on, instead of having a bad attitude and stop caring about your job.","Well life is tough, but it is no excuse to loose motivation and start performing like crap! If you keep up this behavior I'll have you demoted and make your life a whole lot worse!"
"You have been an awesome soldier up until these counselling, lets bring that attitude back! I would love to see you in a better position!",Sometimes discipline needs to be imposed but use it as a learning experience and allow it to make yourself into a better person.,PFC lewis if you need any assistance with any problems at all you can always come to me and we can look into resources that are available to you.,Everyone goes through rough patches at some point in their life. Keep your head up and keep trying your best!,You are allowing your stress from home to reflect on your work! You need to do better in the workplace!,PFC Lewis your behavior has been extremely poor lately.,Who do you think you are showing up late to a formation? If you are late again you will be disciplined further!,Your behavior has been dwindling down the past few weeks. You are not showing qualities of a good soldier.
This is definitely a lot to handle but it will get better.,"I'm really sorry that your having to go through all this, I've dealt with a lot of it as well, do you want to talk about it more?",How could she leave you after being together for so long? It's going to be all right if you need anything you let me know right away.,why would your parents divorce now? I know how tough this is.,I know how tough this can be but you need to maintain your professionalism here at work.,It is hard to see your parents go through a divorce but you need to not let that effect you.,well what were you doing to make this happen? What is your role in all this?,How about you figure things out and keep things together here at work. Don't try and give me some kind of pity party.
"Listen, you're a damn good soldier, and one day you'll be a damn good NCO, but to get there you have to get your head back in the game. I'm sending you to talk to the Chaplain.","I'm glad you told me this, private. We look out for each other in the Army,and I'm going to get you the help you need.","Your performance has been sublime until these past couple weeks, see the Chaplain and get back to where you were and you'll likely be on a fast track to promotion.","I'm not going to quit on you, private, but you can't quit on me either. I'm going to do my best to make sure you get what you need.","I get that you're having issues at home but if you let it interfere with your professional career then you're going to have problems here, too.","Pick your chin up and get back in the game, things are going to be fine.","Grow a damn spine, knock off the suicide talk, and quit dragging your feet on the job.","Listen, dumb fuck, I have to be here, and I have problems too, but you don't hear me bitching about it."
"Listen i know life is hard right now but it always gets better, ending your life is not worth it and i want you to take a deep breath and we are going to go to lunch together and talk this out and know that i appreciate all that you do.",Hey I can go with you to see the chaplain but i want you to know that your life is important and you matter a whole lot to this platoon being one of the best soldiers I have ever seen.,Hey man i know its tough right now but go out with friends meet new people and have a 3 day pass.,I can take you to lunch and give you the rest of the day off and I want you to go out with friends and have the time of your life.,"I know your parents split up and so did you and your fiance that sucks but i need you to work hard again, i cant help you if you fail.","Just suck it up, these things happen. Go do some PT and you will be fine.",That sucks your fiance left you but she probably had good reason since you are always such a sad loser.,Maybe if you worked harder your fiance wouldn't have left you and your parents would still be together.
"PFC Lewis, I'm sorry to hear that. I had no idea this was going on. Let's sit down and talk about what we can do to help you get through this. And let's start to check n regularly off the record. ","PFC Lewis, I want you to know that you're an integral part of this unit and that we want you here. In addition to checking in on you personally, I'm referring you to on post resources to help you get some help.","PFC Lewis, I know what you mean. Hell, I've been there. Let's forget about this counseling and just talk. What do you like to do on the weekends?","Forget the counseling. From now on, any time you feel this way, come talk to me and we'll get through it together, starting with right now (takes out whiskey and pours two glasses).","Lewis, you're a good man and I know you're going through some stuff, but this can't continue. You took an oath when you signed up, and we expect you to give all you have in service to the country.","I can't deal with this anymore, I'm reporting you to the proper resource center on post to get this sorted out.","SFC Lewis, your conduct has been completely unacceptable! Now I see why your parents are getting divorced and fiancee is leaving you. How could anyone love someone who's always late?!","Guy, what the hell. I don't need your sob story. I need all of my soldiers in formation every damn day."
