Region 4,,Region 1,,Region 3,,Region 2,
I appreciate your openness and honesty regarding my soldiers. Please continue to update me on this particular situation.,Thank you for telling me that. These are things that I need to know. Let me know if there is anything else I should know about the platoon.,You are doing a good job around here. I appreciate your hard work as Acting Platoon Leader.,Your diligence and attention to detail does not go unnoticed. If you continue this work ethic you are looking at a promotion in the near future.,"I understand that you are trying to fill me in on all the details, but make sure that it is appropriate to the work we do as a platoon.","This may not be information that you should be telling me. If you have any problems with his actions, make sure that you either talk to him directly or provide specific instances of work-pertinent information.",This is not at all appropriate and you should not be speaking to me about this kind of information. This is going to get you in trouble.,Do not talk about your fellow soldiers behind their back like this. This is potential grounds for slander and I don't want to hear about it again.
I appreciate your input on the platoon. Let's remember to keep things professional and to document incidents when necessary. ,"I do not think talking about your subordinates in such a way is necessary but I understand your need to inform on this subordinates issues. Remember, to document incidents with counsellings .",I appreciate your feedback and hearing about the issues with your subordinates. I see that you are working hard with this platoon.,Keep up the great job. Thank you for the feedback.,I am sorry your having so problems with this subordinate. Remember to keep things professional when speaking with him. ,"I understand why you are letting me know this information, however, if you have properly documented these incidents I will be able to find this information in his file. ",I do not understand your need to speak poorly of your subordinates.,Don't speak to me with such negativity. 
It seems like you're experienced in taking care of issues with this individual. Just keep doing what you're doing.,It's a good thing we have you around to help take care of the platoon. Let me know if you need help dealing with this individual.,It seems like all the great things I've heard are true. Thanks for doing a great job. Our platoon is lucky to have you.,Great work. You've made a positive impact on the platoon. I will look for additional opportunities for you to be a leader.,"While I appreciate all you've done so far, it just isn't enough to get the platoon where we need it to be. Try doing a little more.","As someone with more experience, you need to help others in the platoon more. You've only done what is already expected of you.",Why would you ever allow that type of behavior to occur at all? This is an outrageous lack of personal responsibility.,"I don't see why other people have such good things to say about you, since you obviously cannot be trusted to deal with problems."
Continue to praise about making smart choice to pull sgt into private meetings. However turn the discussion into a brainstorming session that gets both parties thinking and working together on a solution to help the sgt ,"I appreciated the forward thinking but we got to continue the mission of getting unit all under same page. I trust you can find a solution, you mind discussing a few",Decide to use same energy in response back to SFC to show confidence in his choice and that you are supporting him. Create a way that makes task of maintaining/improving unit a priority under his guidance to see how he responds,Put the ball in SFC court to continue the good job he has been doing. Praise him on how the high energy and attitude has been a positive affect on the unit,"Unfortunately, the unit only functions as its weakest link. If we have disorder than we are failing as leaders. Give him discussion why a team is only as strong as weakest link",Talk down to the SFC about how he should of been crushing the issue faster and not having to continually counsel same individual. Say if it happens again than he will face consequences ,Put the fear of God in the SFC to fix the problem for good but explain you want it done professionally and in a certain time frame. ,"Tell SFC the energy of his leadership is on point however, motivation to perform and act professionally needs to be addressed and fixed and that it falls on him to come up with the solution"
"SFC, it is pertinent to the platoon's success that we get all SQD Leaders working to standard.","SFC, we are only as strong as our weakest member.","SFC, I'm impressed by the work you have done so far.","SFC, I'm excited to work with a platoon that is already operating at a high level and tending to it's deficiencies.","SFC, I'm disappointed to hear you have a PLT with leadership like Cramer.","SFC, I see the second SQD leadership as a failure.","SFC, the failure of Cramer will rest on your shoulders.","SFC, you aren't doing your job by continuing to have toxic leadership like Cramer. "
"It sounds like everything is fairly squared away. However, I want you to keep me up to date on the issues with Sgt. Cramer; I do not want anyone being harassed in my platoon.",If that's the case then I would like to speak personally with Sgt. Cramer regarding his drinking issues. Send him in immediately.,Good work SFC Johnson; and keep an eye on SGT Cramer for me. Let me know if he causes problems again.,Good work SFC Johnson.,"SGT Cramers drinking problems should've been dealt with earlier, not just now that I'm getting here. Have you done anything at all to reign him in?",Why have these issues with the platoon not been taken care of earlier? If these have been recurring problems why am I the one that is just now working to correct them?,I want these problems with the platoon dealt with immediately and you will not leave until they have been.,I am severely disappointed that SGT Cramer has yet to be reprimanded for his drinking problem. I want it dealt with immediately; send him in.
I'm glad to be here serving with such a great company.,I'm grateful to have subordinates that pull their own weight in this company.,I've heard that you are a great platoon leader and can't wait to serve alongside you.,I know that I'll learn a lot serving right alongside you and how to keep this company motivated just like you have.,I don't think telling a new platoon leader gossip is very professional before I even get to know my platoon.,Thank you for telling me your opinion about Sgt Cramer but I'd like to see his actions before I just to any conclusions. ,I'd just keep your opinions to yourself before telling everyone new to the company what wrong has been done to you.,I haven't even met the man let alone get to know him and his situation. I'd like to do that before assuming anything.
You've done a great job with the platoon and like to continue to see your good performance.,"You are one of the best NCOs in this unit, keep it up.",SFC Johnson I see you as a future First Sergeant one day. I'll work to get you promoted.,"SFC Johnson, anything you need, I'll get for you, just ask me.","You've done a good job, but I've also heard from others that you don't care about soldiers",I hear you drop the ball on some missions however.,"However there are many deficiencies in the unit , you were the one in charge, and i am here to fix it.","Now that I am PL, this unit will operate 1000% better than you could ever have done."
"SFC Johnson, it is my pleasure to see such a good platoon as yours. I am really impressed with your brief and am looking forward to see them to get their works done as a team. ","SFC Johnson, I do not worry about Sgt. Cramer since you seem to be able to standardize him as you have assured me. Keep your good work and let me know if you have any problem with him. ","SFC Johnson, I really appreciate your hard work. Please keep it up and I am really looking forward to see my soldiers as you have described soon. Make sure they can meet my standards. ","SFC Johnson, I trust your words about Sgt. Cramer. Please make sure he does not do anything stupid. I will also keep my eye on him.","SFC Johnson, do you think this platoon is in a good shape? Are you out of your mind? Wake up and get your shit done so I can actually do something with these people who call themselves soldiers pathetically.","SFC Cramer, you have not done to Sgt Cramer yet? You are out of your mind. I will see what I can do to the Sgt by my own. Do not assure me anything if you do not know how to handle it.","SFC Johnson, you think you are special? Your words are just meaningless and I cannot believe that you have informed me that the platoon is on standard. I will personally make them soldiers. ","SFC Johnson, if I find Sgt. Cramer causing me or my platoon any kind of a trouble, I guarantee you that you will not be able to walk away from the responsibility either. "
"How often is periodically? I'm glad that you reign him in when he goes to far, but do you think there is a way to stop the problem from happening in the first place? You know him well, and would be the best person to approach him about the issue.","Even if you do take him aside, do you think there is a way to keep it from happening altogether? The squad works together well already, it would be even better if this speed bump could be ironed out.","Outstanding, I'm glad that everything is running smoothly, and if you say it's not a problem, then I'll trust you on the matter.","Well, I guess theres no problem with a little drinking now and then, as long as the work gets done and you keep him in check.","This is a major problem SFC, your soldiers are being harassed by a squad leader on your watch. Don't try to downplay the seriousness of this situation.","What about if we brought new soldiers in to fill in the empty ranks, how do you think they would respond to being harassed by their new team leader?",This is a major blunder on your part SFC! You've neglected your role in this platoon entirely.,"We can't have this happening here, I want SGT. Cramer out of my unit ASAP, if it doesn't happen soon, I'll hold you personally responsible."
"I will determine who does what here,SFC .",Thanks for the heads up SFC.,"Good SFC, I can see you are doing a great job.",Thanks for the heads up.,"SFC, Are you trying to tell me how to do my job?","SFC, that is unprofessional  of you.","Excellent job SFC, I look forward to working with you.",I do not like to hear accusations with out evidence. 
I'm happy to hear that the platoon is functioning so well and that you're on top of the little issues before they escalate.,"Clearly what you're doing is working and I don't plan to change things up just for the sake of change, if there are small issues we'll fix them. I'm looking forward to working with you.",Let's talk about how we can improve the squad leader's disposition permanently. I want to hear what you think is the best plan of action.,Good work on being so on top of your platoon. I want updates on the squad leader's progress and any other issues.,"If there are issues in your squad that you're aware of and haven't been able to take care of yourself, I'm going to have to step in.","You clearly haven't solved the problem, you're treating the symptom and not the root issue. I will take care of this.","Why hasn't this been taken care of, the squad leader should have been counseled long ago. I do not approve of your actions.",You are really letting your squad down by allowing this squad leader to continue to act this way.
I think you've been doing well but lets talk more about Sgt Cramer's issues.,I think you've done well in handling the situation but let's see if i can chamge Sgt Cramer's behavior by talking with him now.,Let's keep it up! Introduce me to the other squad leaders!,"I'm very excited to be a part of this platoon, let's try to be the best in the company!","If Sgt Cramer's attitude hasn't changed, I don't think you've been doing a good job as the platoon leader.","We're only as good as our weakest member, you've compromised our platoon by allowing sgt Cramer's actions to continue.",Sgt Cramer is you're responsibility. Go handle it now before I have to do something about him AND you.,There is no excuse for you or sgt Cramer. Im going to speak to the company commander about you both.
We will try to work out a plan to solve this issue together.,I appreciate your involvement in this matter. Let us search for solutions to mitigate this issue. ,"Good job, sergeant! Keep up the good spirit!
",I will note your efforts in your next evaluation. ,"This is terrible, we need to work on company morale. ",This is unacceptable. We will have to do more than just pull him to the side once in a while. ,"It is your responsibility to ensure that such situations don't occur around here. You failed in your duties!
","I can't believe this is happening! I will have to counsel you for not responding to the situation in a more productive way!
"
"SFC Johnson, thank you for telling me this information. Rest assured that we can now begin to work on our platoon issues together.",Not everyone is perfect but you seem to be dealing the small issue with SGT Cramer very well. Thank you for that.,"Excellent job SFC Johnson, I can't wait to see what we can do working as a team.",Keep up the good work SFC Johnson. Your ability to take care of your soldiers should be the standard.,"SFC Johnson, I see that you want to look after your soldiers but some things need to be reported. SGT Cramer's drinking issues can grow into larger problems as it seems like you needed to pull him aside several times.",I see how you don't want to affect unit cohesion by not stirring the pot but I expect professionalism from you when it comes to repeating issues like that of SGT Cramer.,"SFC Johnson I question your professionalism when you tell me you have pulled SGT Cramer aside not once but several times for a drinking issue. After his first warning, you should have counselled him.  ",Do you really think pulling someone aside is sufficient for dealing with SGT Cramer's repeating issue? You should have reprimanded him immediately. I need to know that you are doing your job as PSG and setting the standard for everyone.
I'm happy to hear the platoon is doing well. Let's have a normal day so that I can get a feel for the platoon.,I appreciate the work you and others have put in. I would like to go through the paperwork with you for me to transfer in as Platoon Leader.,"Awesome, Sergeant. Let's get out with the platoon and keep up the good work.","Great work, I want to start working on our platoon tasks for today. Let's keep up the awesome work!","Easy there, Sergeant. Lets slow down and take things step by step and do this by the book.","Lets keep things professional in terms of Sergeant Cramer, I would like to form my own opinion about him.",Do you think a Squad Leader who can't control his drinking is not a problem for the platoon? You better explain yourself right now.,How many times have you let Sergeant Cramer get away with drinking too much? This could damage the Soldiers faith in their leadership.
,,,,,,,
Thank you for notifying me about things you deem important. i appreciate your efforts and i look forward to working with you.,thank you for your help. i look forward to leading the guys and ill keep an eye on Cramer.,I appreciate that. i think we will work well together.,Thank you for the heads up. we will monitor the drinking from cramer but other than that im excited to get this thing rolling.,i dont know why that was so important that you had to tell me. I ma not worried about that right now.,that was very unprofessional and i dont appreciate that.,i do not like gossip so grow up and lets be professional.,what are we? high school kids who love to go rag on other people? be professional.
Thanks for that information. I will look into Sgt. Cramer and see what steps can be taken to improve his character. ,You are doing a great job handling Sgt. Cramer. Keep up the good work. ,Please keep telling me all that you do to keep this platoon in order. I would love to learn your ways.,You are one of the elite service members that we have. All the people in the platoon look up to you. ,I have not had the opportunity to address SGT. Cramer myself. I would like to see how he is before making any judgements.  ,"If SGT. Cramer is giving that kind of attitude to others, why hasn't the issue been resolved already? Why now are you bringing it up to me?",You should have tooken care of SGT Cramer already. It should no longer be an issue. Are you even doing your job?,You are suppose to be the best in your platoon. You set the standards. Why is SGT Cramer still acting out under your command?
"SFC Johnson, thank you for your hard work you've done with the platoon. We will work together to iron out any issues that are in the platoon.","SFC Johnson, you have done your best to keep the platoon together.","SFC Johnson, you have done a great job with the platoon. Anything I can do to help you get recognized for your work I will do.","SFC Johnson, I would like to reward you with a weekend off for all of your hard work.","Even though you've done a great job, we need to take care of these issues immediately.","I'm glad that we've got some strong leadership in this platoon, however, we need to get rid of these bad apples.","SFC Johnson, you are responsible for the actions of these soldiers","SFC Johnson, anything that happens while you are in command falls into your lap. You could get in trouble for letting these actions happen"
SFC Johnson I appreciate you letting me know the ins and out of the platoon. I am lucky to have you as my PSG.,"It sounds like the platoon for the most part is squared away, you seem to be doing a great job with these soldiers.",Outstanding! I am greatly anticipating working with you and this great platoon!,"I am thrilled to hear that the soldiers are so well disciplined, it sounds like we will have a great platoon!",I respect how you handle the situation with Sgt. Cramer but I think you could have done things a little differently.,"I'd like to have all squads at full strength, why have you been going with third and fourth squad down a man.","I completely disagree with how you've been dealing with Sgt. Cramer, if his drinking is detrimental to those around him why have you not removed him from his position? ",I think you have some major flaws with how you've been working with the platoon. I will be making some changes as soon as possible. 
"Don't worry SFC Johnson, everything is going to be fine. You are doing a good job and we will work out the kinks as we go along.",Thank you for the input. I will be sure to utilize this information in my role. Good work.,Excellent job! I am impressed with your work so far. We will handle any issues together as they arise.,I could not ask for a better transition. Thank you for being so helpful. I will make sure to handle all issues as they come along.,I am disappointed to hear that these problems with Sgt. Cramer have gone on for so long. We may have to take more serious action to correct his behavior.,How could we be short soldiers in our unit? Why did you let this problem continue? We need to be at full strength as soon as possible.,"SFC Johnson, I cannot believe you were in charge for this long. The platoon is a mess and it's all your fault.","You say the platoon is in good shape, but all I see are negatives. We have a lot of work to do before we are in good shape and it's all due to your lack of leadership."
"SFC Johnson, thank you for bringing this too my attention. I am happy to hear that you are up to date on your squad leaders. Regarding Sgt. Cramer, I trust that you will keep him in check and keep me updated that his behaviors change for the worse. ",I thank you for your diligence in keeping track of your squad leaders. I trust you will make the right decision regarding SGT Cramer. ,,,"SFC Johnson,  I need you to take control of SGT Cramer. Get to this immediately as it is important that my Platoon SGT be always correcting his platoon. I am dissapointed that this hasn't been fixed yet.",,Why haven't you fixed this already? It reflects poorly on you that this has gone on to this degree. ,
Sgt. Johnson keep up the good work. Our platoon cannot afford to have these types of issues,"As long as Sgt. Cramer's problems do not become a distraction, I ","Sgt. Johnson, you seem to have good control of this platoon. Keep up the good work.",,"Sgt. Johnson, I trust that you know we have a zero-tolerance harassment policy here. Handle it before I get involved.","Sgt. Johnson, shame on you for allowing this harassment to happen periodically. ","Sgt. Johnson, where is Sgt. Cramer? I want to speak with him -- now!","Sgt. Johnson, if I hear the smallest discussion about Sgt. Cramer's harassment problem, I will see that you and the Sgt receive a disciplinary recommendation. "
"I am glad to hear that things are going so well. However, it sounds like you may have an issue with one of your men that needs attention. ","Johnson, I am glad to hear that you periodically pull him aside but it sounds like we may need a more serious approach. ","Excellent, I am glad to hear that you are overseeing things here. It is good that you have taken measures to control such behaviors. ",I can tell that you have a good understanding of the platoon and I will certainly be trusting your judgment moving forward. ,"While I am glad to hear you think you have done well, I think you have handled a serious issue very poorly. ","When dealing with issues of harassment, merely pulling someone aside is not enough. You are now liable. ", You have no idea what you're doing. You clearly are under trained for your position. ,Why are you so dumb? You should have never spoken to me about this. 
"SFC Johnson, I really appreciate you bringing this up, the platoon is only as strong as it's weakest link. Rest assured when I meet with SGT Cramer, we will discuss how we may be able to alleviate any problems from arising again.","SFC Johnson, thank you for bringing this situation to my attention. Best believe that I will try my very best to have the entire platoon performing at its upmost capacity, and that includes building up what may be our weakest link.","SFC Johnson, I am honored to be involved in a platoon that is hardworking and motivating. Best believe that as a team, we will continue to flourish, maintaining platoon morale, efficiency, and exceeding current performance, along with SGT Cramer.","SFJ Johnson, our platoon is only as strong as a weakest link. However, by working in cohesion, no matter the problems that may arise, we will make sure this platoon continues to exceed its great performance. ","SFC Johnson, as great as this platoon has been performing, the platoon is only as strong as its weakest link, and if that's the case, I'd say you're not doing your full duty as platoon sergeant. SGT Cramer needs to get on line or you will continue to fail","SFC Johnson, being that you have been acting PL, you should have already taken care of this problem with SGT Cramer. Everything the platoon does or does not do falls on you too, if you fail, I fail. We cannot let this go on any longer.","SFC Johnson have you lost your mind? How do you tolerate subordinates to exert their problems to the rest of the platoon? Especially alcohol related. This is completely unacceptable. Mind you, this will not happen again, set him straight ASAP, understand?","SFC Johnson, if you allow alcohol to influence the rest of the platoon, then you have clearly failed as an acting PL and PSG. This will not be tolerated and I will hold you accountable for this, fixing it will be your number 1 priority. Don't fail me."
"Hey, SFC Johnson, I greatly appreciate the feedback and the ability to assess your platoon's capabilities. I look forward to working with you and maintaining a great working environment.","SFC Johnson, thank you so much for being as open with working to make this platoon the best that it can be.","SFC Johnson, that is awesome news and I can not wait to continue making leaps and bounds with this platoon with you! I appreciate all the hard work and all your efforts!","SFC Johnson, you really know your soldiers and I would love to continue the good work and strive to make this platoon the best that it can be!","SFC Johnson, I know how tiring it must be to keep up with all the soldiers in this platoon. I can't imagine all the sleepless nights you've had. I just want you to know that these sleepless nights will in fact continue, unfortunately. ","SFC Johnson, I am completely exhausted just listening to all the work that you have done so far. Has no one else did as much as you? I am bewildered that there is even a drunk person in your platoon.","SFC Johnson, I can't believe that you would air out Sgt Cramer's dirty laundry like that! Would you like it if I just spread rumors to your higher command as well?","SFC Johnson, have you ever thought that Sgt Cramer drinks because of you? You sound like a terrible SFC and especially because you are tattle telling on your fellow subordinates. You disgust me."
"Sergeant, I appreciate your hard work as the acting
Platoon leader. I will be reaching out to you in the 
following days but I will take care of it from here.","I got it from here, Sergeant. I will make sure you are 
recognized later for your work but you can relax now and 
go back to your role as PSG.","Thank you for you work as acting PL, Sergeant. I will 
be relying on you for the next few days while I get my 
bearings in this new unit.","I has been excellent work you have done here, Sergeant, 
and I know you will continue to perform while I am 
acclimating to this new unit.","I appreciate the work you have done, Sergeant, but the 
issues with SGT Cramer should have been addressed sooner.
I will take it from here so we can resolve this.","Sergeant, SGT Cramer's attitude is unacceptable. I will 
need you to step down immediately so we can get this PLT
back in order.","Sergeant, as an NCO you should have fixed SGT Cramer the 
moment these issues started. And the SQD's are not all 
complete? Unacceptable.","You have failed this PLT, Sergeant. Any incidents with 

SGT Cramer are on you."
"Sergeant, I appreciate your hard work as the acting
Platoon leader. I will be reaching out to you in the 
following days but I will take care of it from here.","I got it from here, Sergeant. I will make sure you are 
recognized later for your work but you can relax now and 
go back to your role as PSG.","Thank you for you work as acting PL, Sergeant. I will 
be relying on you for the next few days while I get my 
bearings in this new unit.","I has been excellent work you have done here, Sergeant, 
and I know you will continue to perform while I am 
acclimating to this new unit.","I appreciate the work you have done, Sergeant, but the 
issues with SGT Cramer should have been addressed sooner.
I will take it from here so we can resolve this.","Sergeant, SGT Cramer's attitude is unacceptable. I will 
need you to step down immediately so we can get this PLT
back in order.","Sergeant, as an NCO you should have fixed SGT Cramer the 
moment these issues started. And the SQD's are not all 
complete? Unacceptable.","You have failed this PLT, Sergeant. Any incidents with 

SGT Cramer are on you."
"Don't worry about your ERB, SFC Johnson. So long as you are doing what you are supposed to be doing and getting the job done, your ERB will take care of itself. As far as I'm concerned, you're doing great. ","Relax. You're doing an excellent Job SFC Johnson, keep up the good work!",Keep pushing forward and do more in less time!,I like your enthusiasm and energy today. It's influencing the tempo of the platoon in a positive way.,"Hey, I heard you have  one of the lowest PT scores in the platoon. You need to improve your physical fitness if you are going to lead by exampl",Why are we so behind in personal rediness as  platoon? I gave you a list of things that needed to get done by this week and you have failed to meet my expectations.,Why did the platoon perform at such a low level during the last FTX? What can we do to better so we don't repeat the same mistakes?,"I'm hearing rumors that you are not performing your duties and holding a double standard with your subordinates, is this true?"
"SFC Johnson, it seems you have been doing a great job; I definitely want you to continue the good work and I look forward to working with you as my PSG.", I’m very happy to hear that things are going so well in the platoon; I do hope to keep that trend going. Nothing in life is perfect; however even the minor problems that you have mentioned can be fixed.,"SFC Johnson, you’re a beast; not only have I heard that you were a great platoon leader without any officer training, something that I had to go to school for, but, you were also able to keep the platoon in great shape. That is IMPRESSIVE!!"," SFC Johnson, you deserve to be a 1SG; I see a promotion in your near future.  I haven’t known you that long, but you seem to be an outstanding soldier who will go far in whatever endeavors you decide to partake."," SFC Johnson, you need to pull this platoon together; it is not acceptable to have 2 squads short or to have a drunk for a squad leader. This is something I hold you responsible for as the acting platoon leader.","This platoon is a mess; I’m not going to lead a drunk. Pulling SGT Cramer to the side is not the answer. As a senior non-commissioned officer, I expect you to know better than that. Pull yourself together, SFC Johnson.","SFC Johnson, your platoon is the worst I’ve ever had to lead. You and your soldiers are a disgrace to the U.S. Army. If you can’t get rid of a drunk from your platoon or stop him from drinking, you and SGT Cramer both don’t deserve to be in the Army.",Periodically pulling SGT Cramer to the side to set him straight is plain laziness. A good senior non-commissioned officer would have fixed the problem long ago instead of just sitting back and doing nothing.  You’re definitely not the PSG that I need to help me lead this platoon.
Sounds like you have things well in hand.  I can’t wait to move forward together to further improve the platoon.,Glad to hear the platoon is doing well.  I am looking forward to moving forward to correct the few issues that are outstanding.,Excellent job Sgt.,Sounds like you have things well in hand.,Sounds like although you have tried you need some help pulling the platoon together .,Looks like you have done all you can at this time so I will help you sort out these last few problems.,Sounds like there are many issues that are unresolved within the Platoon.  I will tackle those thank you.,Looks like you have let some things slip through the cracks that I will have to clean up.
"SFC Johnson, thank you for the information about the platoon. It sounds like the platoon is squared away.",I’m glad to hear the platoon is doing well. Let’s continue to meet the high standard in place.,Hooah! That is great news! I look forward to working with such an outstanding platoon.,That is such great news! I am thoroughly impressed with your accomplishments!,I’m not sure why you are so excited. It sounds like the platoon is meeting the standard and not doing anything beyond the standard.,I think you can do more.,"SFC Johnson, I think we can get more out of the platoon. I need you to take more responsibility to get the platoon where I want us to be.",It sounds like you are not doing enough to help SGT Cramer. If you did more to help him drinking should not be a problem
"It will be a pleasure to work with you, but I think we should sit down and really figure out our strengths and weaknesses",Everything looks exceptional. Lets sit down and go over the books soon,the work you’ve done those far is exemplary. lets fine tune this machine,lets maintain your level professionalism,The current bar is not the standard. We must become more ambitious,"This is not acceptable.  Fall back, identify problems, and improve.","If this continues, official reprimand will follow","These decisions are not yours to make,  please discuss future evaluation with me before issuing command"
