"Region 4(High Valence, Low Intensity)",,"Region 1 (High Valence, High Intensity)",,"Region 3( Low Valence, Low Intensity)",,"Region 2 (Low Valence, High Intensity)",
"I understand your frustration. Going through family issues is difficult. If you need any help, let me know.","If you want to, I can give you some time off to go see a family therapist, so that you and your wife can get on the same page.",Take the tomorrow off to spend with your wife and kids. This job can be very stressful and I don't want it to affect your relationships at home.,"If you are having problems at home, it would be good for me to know. Let's go out for lunch today and you can tell me what is going on and how I can help.","Family trouble isn't easy, but you cannot take it out on your soldiers. Don't pass on your troubles to your subordinates or you will destroy their morale.","Trouble with your wife is a challenge, but you need to sort out your struggles at home and separate your home problems from your work problems.",That is unacceptable the way you treated your soldier. You cannot take out your frustrations on them. You will have extra staff duty this weekend.,You need to apologize to your soldier. That is not appropriate language nor technique to teach your soldiers. Next time that happens you will be punished more severley for your actions.
I am here to listen to you any time you need to talk. Remember to not take your personal issues out on your subordinates.,I am sorry your going through so much. Just remember to keep your cool in front of your subordinates. ,"I am here for you anytime. We all go through hard times. I know you care about your subordinates, you just have to take a deep breath and address them accordingly.",Just remember you have people in your corner if you need them. Try your best to treat your subordinates with respect. ,"I hear what you are saying. However, the way your treated your subordinate is unacceptable.",I understand you are going through a lot but you need to keep your cool and treat your subordinates better. I will be giving you a counseling today.,I don't know who you are or why you think its okay to treat your subordinates in such a manner. If I hear of you treating your subordinates like this again I will recommend an article 15.,Why the fuck would you think it is okay to treat your subordinates in such a manner. You were verbally abusive and made yourself look terrible. Get your act together.
I understand you are going through a hard time and that it's challenging to keep work and home separate. I'm sure you'll react better next time.,"That must be very challenging for you. In the future, let me know if you need anything to help with your training and your soldiers. Maybe that can make you less stressed out.",That sounds frustrating! Why don't you take the night off to try and make peace with your spouse? ,You'll be more focused if you can take care of the issues at home. You can go home early and take your wife out to make things better,"You know better than to exhibit that kind of behavior. You are going through something difficult, but so are each of your soldiers. Be a better example.",You're not living up to the values you promised to uphold. You know what you're doing is not right. Let me know by tonight how you plan to make things better here at work.,What on earth are you doing? What makes you think you can behave in such an unprofessional manner? Abuse of your soldiers will not be tolerated. You will be couseled,You cannot take out your personal feelings on your soldiers. You are interfering with their training. You get extra duty this weekend.
Calm the SGT down we reassurance that the arguments will die down. Ask if he wants to discuss different ways to overcome the distress,Hey SGT things been rough on you today. Take the rest of the day off and work through some things but tomorrow come back ready to work. ,Focus on how the arguments are happening because each party cares. Say you would gladly help mediate discussions if that would help them out,Give the SGT a date activity and day off to take his wife out to help reduce the stress build up,Tell the SGT he needs to get his shit together before the mood affects everyone around him and that work and home life cant be mixed,Berate the sgt for allowing his emotions to get in the way of his work,Get SGT going about one of the arguments to remind him of why he was energetic and upset,Tell SGT that maybe your wife is right however it dont matter now we at a work environment and need you focused 
"SSG, all relationships encounter ups and downs. If you and your wife continue to use open communication this period won't last.","SSG, fighting with our spouses is normal. I would suggest taking a few days of leave to spend doing something both you and your wife love to do. Stress-relief.","SSG, stop focusing on the negatives. You have a beautiful family to share your life with. Why don't you take the weekend and go out and do something fun?",,The military is a stressful lifestyle. I've seen a lot of failed marriages.,Sometimes things just don't work out.,Your wife should be more understanding.,Your wife is ungrateful.
I will arrange for you to take a week off to gather yourself and recuperate. Maybe arrange some spousal therapy. ,Go ahead and take a pass for a few days to mentally recuperate.,You can go ahead and leave early today. Take a bit of time off and relax.,I'll arrange for you to take some time off. Recharge and fix any at-home problems you might have; then its back to work.,"When you take your anger derived from your personal problems out on your subordinates; whom are undeserving of that kind of treatment, do you know how much sympathy for you that generates in me? None.",You need to go ahead and leave early today. Cool off an then come back tomorrow. I can give you time to deal with home problems but you will not take your anger out on your subordinates.,You home situation belongs to you. Your men have done nothing to deserve the verbal abuse you give them just because you and your wife had some arguments; now go away. ,I don't know about whats going on between you an your household; all I know is that there will be severe repercussions if you speak to one of your subordinates that way again. Am I clear?
SSG Burch you are just going through personal issues right now and its affecting work. Let me help you solve them.,"SSG Burch you are a good NCO, I am here to help, don't let your frustrations affect work.","SSG Burch you are the best NCO here, ill give you time to sort through your personal issues",SSG Burch there many Army resources to help you with your situation. I'll give you time off to fix them.,SSG Burch I expected better from my NCOs. Fix your personal issues.,SSG Burch I'll have to relieve if you keep this bad behavior up.,This confirms how terrible of an NCO you are. I am taking action to replace you.,This isn't the first time this has happened. You fail to lead your soldiers.
"SSG Burch, you are definitely working so hard for this platoon. I believe that you are one of the best I have here. Hope you can see that I am counting on you.","SSG Burch, just forget about his mistake. We all make mistakes when we are inexperienced! You are a good soldier and I always see it. Please relax and let's focus on making our platoon better!","SSG Burch, you are the best man I have. I am trying to send a recommendation to the chain of command for you to have a waiver for a promotion due to your hard work. Please do not let it slip with showing your anger. ","SSG Burch, I believe that you are doing such a hard work and I am going to try my best to make you recognized to the higher level. Cheer up and keep your good work! Do not stress out and let's be professional all the time.","SSG Burch, who the fuck do you think you are? Do your fucking work right and stop putting blame on others!","SSG Burch, just shut the fuck up and do not create any problem in my platoon. Otherwise I will do my best to get you punished.","SSG Burch, you think you are doing right right now? If yes, keep doing it. I can't see any difference from you and him at this point anyway.","SSG Burch, if you can't control yourself with your emotions, you have no right to lead your troop. I want to see you behaviour better next time or it will be you to be yelled at."
"I understand where you're coming from, family problems are tough. Have you thought about seeing a counselor? ","Problems with the wife are the worst, I've been in the doghouse a few times myself. Have you tried hashing out the problems with her calmly?",,,"I know family issues are hard, I have a wife myself, but it is extremely unprofessional to bring those problems to work with you.","I understand the stress you are going through, but taking your problems out on the soldiers like that is damaging to morale.",You are acting extremely unprofessional and you need to keep your home issues AT HOME. Do I make myself clear.,"This is unacceptable behavior from a leader, you need to learn to control yourself. I don't care whats going on at home, that shouldn't affect your work."
"Do not talk down to any soldier,like that again. Next time it will a negative counseled on you.",Carry on soldier.,Good way of maintain disciple. ,Carry on soldier.,"Stop picking on your soldier, and be professional.",Go fix your personal issues.,Take the day off.,Stop harassing your soldiers.
I understand your frustration. Take the day off and we'll talk about it again tomorrow,"Lets talk about how we're going to solve this problem and not focus on the negative. It just needs a methodical approach, we'll fix things in no time.",Don't worry about it. It happens to all of us. Let's just try to take a step back next time and understand why we're really going off. ,"Everything is going well for you right now, try to let the small things roll off your shoulder. You've been doing great things with your soldiers.",It's unacceptable behavior and if I see it again you will be counseled.,You have failed your soldiers by letting outside issues cloud your judgment.,"Tell me right now, how in the hell does your home issues justify your yelling at a soldier at work. They count on you",You are a complete fuck up and you just won't stop fucking up. How would you like the same treatment?
"How about you take some time off to be with you're wife, no questions asked?",I'm sure some time away from the job will help you too. take some time and come back with a clean slate.,Remember to keep work and family separate. Ill help you out but lets go motivate our troops into doing the right thing!,"Im sure you just need to decompress, take the day off and come back tomorrow fresh",Dont take your own frustrations out on my soliders. That's terrible leadership and teaches bad habits.,Maybe if you werent so disagreeable your soldiers would be better.,If you dont get back there and make sure every single rifle is clean i'm gonna gonna write up a counseling for you.,You're doing everything wrong with your soldiers and youre family. ill show you how its done
"SSG, we will find a way to help you and your family overcome this difficult situation. The family center or the chaplain provide marriage counseling. ",This can happen to all of us. Let us focus on finding a solution to your situation. ,"SSG, I will give you some time off, so you can focus on resolving your family issues. ",,You failed at your job.,You need to learn how to separate job from your private life. ,"I will counsel you for your behavior. Yelling at your subordinates in such a manner is unacceptable!
",How about you being the idiot here for not having your troops under control!
"SSG Burch, take the rest of the day off to cool down and we'll address this tomorrow.","It seems like you need some time off to sort things out, possibly go see Army family resources. Head home for as long as you need.","SSG Burch, you're one of the best soldiers we have. Your work is impeccable and it just seems like you need to take a break. Your off for the rest of the day.",I would hate to see one of my best soldier's go down a bad path. Let me know if there's anything I can do to help you.,"SSG Burch, I know you're a better person that what you just described. Soldier on and get a handle on your own issues.","SSG Burch, you're a good soldier but I can't believe you're letting your personal life effect your work life. I expected more professionalism from you.",How dare you bring your family frustrations to work and take it out on my soldiers. Get a handle on yourself SSG.,What I just witnessed was a complete lack of professionalism expected of a NCO. Do not let me catch you doing something like that again.
"I understand Sergeant. Tell you what, have a Team Leader take over for the rest of the day and take the day off to relax.",Have your Squad clean weapons and in the meantime take an hour or so to cool off.,I'm sure things will work out. How about we get your Squad and get some pt in at the gym?,I understand that. Your one of my best Squad Leaders lets get some work done and we'll talk at the end of the day and work on a solution.,"Take a minute to cool down, but you need to go back out there and lead that Squad. You can't just take off because you're having a bad day.","There's a Squad out there waiting on you, take a second to get yourself together and lets keep going.","Sergeant, everyone has personal problems, that is no reason to take it out on one of your Soldiers. I expect better discipline from my Squad Leaders.",Get yourself together and lead your Squad. You need to work on your personal life on your personal time.
,,,,,,,
SSG Burch why dont we just take a walk and you can cool off? i understand your frustration.,Dont worry about that guy. make your team leader deal with the situation.,Thats how you do it. i love the intensity and passion you use for the privates.,im proud of the energy you put into this job. Smoke him later SSG Burch.,What are you doing? you are the idiot if you are speaking to your men like that. so unprofessional.,"SSG, while i understand your situation, please refrain from taking it out on soliders who have nothing to do with your personal life.","you are stupid, thats not going to help the soldiers out in the long run!",how about i snatch your stuff and call you a retard? if i hear you say it again i will take care of this later in my office.
"Everyone suffers with family issues, but it is vital to keep your personal life separate from your work life. Maybe you should try some counseling. ","There will always be stress at work and at home, but you need to balance it out. Try to keep a positive attitude and if you need anything I am here.",There is always marriage counseling. It works and can help resolve the issues at home. Do not give up and keep pushing. You are an outstanding SSG whose family and country needs you.,Your work ethic is great and you have a beautiful family to come home too. Many of us do not have anyone. Stay at a friends house after you drink to avoid confrontations. Your squad is intelligent because you've trained them so well. Stay positive. ,Your wife is innocent and has nothing to do with your problems. Same goes for your squad. Its all on you and your choices.,"SSG, while i understand your situation, please refrain from taking it out on soldiers who have nothing to do with your personal life. ",It's your fault that this is happening. Maybe you should drink less or not at all. Your wife is innocent. She is not to blame.,You should never yell at someone in your squad like that. Who do you think you are? I'm going to give you a counseling statement.
"You've been under a lot of stress lately, is there any way I can help lighten your workload while you are going through a bit of a rough patch?","SSG, you're a great squad leader, I just need you to focus on work while you are here","SSG, why don't you take the rest of the day off to spend with your family","SSG, if you need somewhere to stay, my door is always open. If you need someone to talk to about your situation, please don't hesitate.","SSG, you need to focus more on what you are doing while you are here at work so the soldiers aren't affected. ",You can't let your emotions out on your fellow soldiers. They won't respect you the same if you are always treating them poorly. ,"If I catch you acting like this again, there will be serious consequences. This is not how a squad leader should act.","SSG, your home life stays at home. You need to separate your home and work life. "
SSG Burch I totally understand where you are coming from. I know I would be struggling if I were in your shoes. If you ever need to talk more about some of your frustrations please feel free to drop by,"SSG Burch, I am sorry for your struggles at home, I really am. However, as you know, we cannot allow our home life to influence how we treat our soldiers. I do understand where you are coming from though and would like to help in any way possible.",Lets just forget about today and the event that occurred. Go ahead and take the day off and relax a little. ,"You were spot on for how you treated your soldier, if he keeps screwing up you better stay on his ass until he gets his act together. ",I am sorry to hear that you've been having some struggles in your home life. It is hard to balance everything but you just have to do it.,"The way you handled the situation back there was unprofessional, I understand you've been having some hard times at home but if this happens again I am going to have to give you an official counseling.",I do not care if you have been having problems at home. It is your job to lead your soldiers effectively but I have not seen you doing that!,"It is not my job to worry about your family problems, all I care about is that you are taking care of my soldiers. "
Why don't you take the day off to calm down. Maybe you should try speaking to your wife tonight calmly and try to get to the bottom of your problems.,I understand SSG Burch. Maybe it would be good to get as much of this negativity off your chest as possible. Why don't you stay here and speak with me for a while.,"SSG, you take the rest of the day off. I will address your squad and everything will be taken care of. Take care of yourself and I am sure your work will reflect that.","SSG Burch, you are an excellent squad leader. This behavior does not reflect the amazing work you do. Let me help you and your squad with their duties for today so you can take some extra time to unwind.","I understand you may be having it rough at home right now, but remember that we need to keep our home lives separate from our work behaviors and remain professional at all times.","You cannot take your problems out on our soldiers. Calm down, return to your duties, and do not make this mistake again.",Are you kidding me SSG?! You cannot speak to your soldiers like that. Your behavior is unacceptable. The next time I hear something like this from you we are going to have a problem.,"SSG, you need to man up. Do not let your home problems interfere with your work."
I understand that your home life is stressful. What can I do to help assist you at work to make things better? ,,You have shown quality work and leadership in the past. I know you have command potential in you. Everyone experiences a rough patch,,I need you to stop yelling at the men and calling them retarded. It is unbecoming of you as an NCO and a disgrace to this company. I expect more out of you,,I don't care about your home issues. Don't bring them to work. Take care of it on your own time and not at the expense of my soldiers.,
"Sgt., the Army has a lot of resources that can help with these types of situations and issues. Let's use them accordingly. ","Sgt., verbal abuse is not the way to go. Trust me. Let's find other methods to get the job done.",I can see how some troops need a more direct approach. Keep it up Sgt.,You know more than I do about getting troops to do the right thing. Have at it.,Are you freaking kidding me Sgt.? Shame on you for taking your personal problems out on motivated troops.,How dare you bring your family problems to work. Verbal abuse of any kin will not be tolerated. Is that clear?,"If I hear you talk that way to another solider, I am going to reach deep inside your soul and remove your heart. Dismiss.",Apologize to the solider. Now!
I understand that stress in your life is getting to you. Don't worry about this right now we can work on things later in the week. ,I'm really sorry to hear that things have been a mess lately. You're still doing a great job. ,The situation is understandable and I must say I am very impressed with how you are controlling your group. ,You are one of my best people here. Let me know if there is anything I can help with. ,"I understand that life at home is difficult. And It makes sense why you were yelling at the soldier, just use another method. ","Don't verbally abuse our people, you have so much more talent than that. ",I do not care about what is going on with your family. I only care about properly dealing with our soldiers. ,You think I want excuses? Fix your attitude. 
"SSG Burch, let me ask you, how many leave days do you have accrued? Let me know because I'm suggesting you take a few days to relax, set aside some time to talk to your wife about recent events. This would not only help you, but everyone as well.","SSG Burch, I understand your possible concerns you have may at home. Honestly, I'd be a little upset if you didn't decide to take some time off. Seriously, your emotional wellbeing is important, take the time you need to talk things with your wife.","SSG Burch, I am aware of your performance as squad leader, you've been doing a great job. Let's keep that going! Your motivation and emotional state are very important. Take a few days off, I'll make sure it's approved, I guarantee it.","SSG Burch, you're an exceptional part of the team, and very important much like your peers. I hate to see you in any emotional state that isn't positive, so don't argue with me when I say you will take a few days off, go on, you have earned it and need it","SGT Burch, You shouldn't let your personal problems affect your work performance, it is completely unprofessional. With the way you treat your soldiers, I would not be surprised if they are also unhappy. Get it together will you?","SGT Burch, as much as your personal life is important to you, it should not in any way, affect your work life. Keep the negativity at home, do not bring it here. I need you to perform, not berate your soldiers, making them not perform. Get over it.","SGT Burch, are you serious? Your private life is just that, private. I don't care what kind of issues you've got going on at home. Your behavior is unacceptable and I'm considering counseling you for it. This will not happen again, do you understand me?","SGT Burch, you have lost your mind. You will not talk to your soldiers that way, or I will treat you like how you treat them. Your private life better not influence your actions again, I will have none of it. Get back to work, do the right thing for once."
"SSG Burch, I can't imagine what you have  been going through. If you ever need someone to talk to, I will be here. ","SSG Burch, I am quite glad you have told me what has been going on at home and I am so sorry to hear that. It sucks because you are working so hard and have troubles at home to exacerbate that.","SSG Burch, I am so glad that you care so much about our soldiers even though you are going through such a hard time with your family!","SSG Burch, continue working hard and I am greatly saddened by the news at home! I know things may get tough but keep being tenacious because I do notice!","Wow, SSG Burch, this type of things happens to absolutely everyone. Why are you using this an excuse for bad behavior at work? Have you ever thought that the soldiers might be going through the same thing?","SSG Burch, I am alarmed and disheartened by this news. I am also going through problems at home and I can tell you, that this is as depressing as it gets and it wont get much better.","SSG Burch, I can NOT believe you are acting in such an unprofessional manner, letting things at home get in the way of your soldiers! I am disgusted once again at you.","SSG Burch, who ever knew you could be such an insensitive NCO to my soldiers. They never deserved your self-serving behavior."
"SGT, this PLT needs you. We will find a way to distribute
your responsibilities so you can focus on yourself starting
next week. The Chaplain's office is a great place to start
looking for marital counseling resources. Just do you for a
while.","SGT. I would like you to take the rest of the day off to 
seek some resources on how to address your issues at home. 
Leadership will work with you to ensure you are ok and I 
would like to hear a plan of what you'd like to do before 
the weekend.","SGT. Go home. Relax. Talk to your wife and come back 
tomorrow. Your soldiers need you but not like this. We
will handle it here until you feel back to 100%.","SGT. We can take it from here if you need to take some 
time to relax. Go home for the day and come back when you
feel ok and have a plan on how to continue.","SGT. This is no place to vent your anger. Whatever your 
issues at home are, you can keep them there. Now go back 
to work.","SGT, I don't care about your issues at home. Go back out 
and go back to work. We can talk about this some other
time.",,
"SGT, this PLT needs you. We will find a way to distribute
your responsibilities so you can focus on yourself starting
next week. The Chaplain's office is a great place to start
looking for marital counseling resources. Just do you for a
while.","SGT. I would like you to take the rest of the day off to 
seek some resources on how to address your issues at home. 
Leadership will work with you to ensure you are ok and I 
would like to hear a plan of what you'd like to do before 
the weekend.","SGT. Go home. Relax. Talk to your wife and come back 
tomorrow. Your soldiers need you but not like this. We
will handle it here until you feel back to 100%.","SGT. We can take it from here if you need to take some 
time to relax. Go home for the day and come back when you
feel ok and have a plan on how to continue.","SGT. This is no place to vent your anger. Whatever your 
issues at home are, you can keep them there. Now go back 
to work.","SGT, I don't care about your issues at home. Go back out 
and go back to work. We can talk about this some other
time.","What is wrong with you? That is no way to talk to the 
soldiers. Now, I want you to go back out there and 
apologize to that soldier.","I don't care what your issues are. That's no excuse to 
show that level of incompetence."
I understand you are under a lot of stress at home . Lets talk about what you need and how I can help you deal with this difficult time so you are less stressed out at work. ,I know you are really stressed out today. Go ahead and take the day off so you regroup and be focussed tomorrow. I'll have another squad leader take care of your duties today.,"I know you are stressed out at home, but you have been doing a great job here. Good news, you have been promoted!",I can't have you treating my soldiers the way you are. I'll rotate you out for the next couple months so you have less responsiblities and focus on your family. ,This is unacceptable behavior as an NCO and not in line with our Army leadership standards. I need you to do better.,"I understand you are stressed out, but do you realize that your soldiers might be dealing with the same issues which may also be affecting thier performance at work?",You will be formally counseled for your innapropriate behavior. ,"I don't care if you have personal problems at home, you can't fly off the handle on your soldiers, period. "
"SSG Burch, I’m sorry to hear about the problems with your wife. However, problems are there to be solved and I’m positive you can overcome this.","SSG Burch, you’ve been having a bad time; I can definitely understand your frustration. If you ever need someone to talk to, I’m always available.",SSG Burch don’t ever verbally abuse a soldier like that again OR I will make sure you get the same type of treatment in front of your own soldiers.,You’ve made your fair share of mistakes as we all should. I expected better from you as a staff sergeant. Would you have liked the same treatment as you gave Jones? You should be embarrassed.,"SSG Burch, you’re the worst NCO I’ve ever known. You deserve your rank nor do you deserve to lead soldiers.", You’re weak sauce if a few arguments with your wife has put you under so much stress that you need to go crazy on your soldiers. Perhaps you need to rethink whether you should be in the army.,,
"SSg, souns like you are going though a very trying time right now.  I have some resourses you and your spose could take part in to help remedy the situation and I will work to ensure you have the time to take care of this.","SSg, it sounds like you have a lot on your plate.  Lets work together and find a way that we can get you some time to figure our solutions to the things troubling your and your family.","SSg, you are a great NCO an I have seen you do great things with the platoon.  When things get hard at home I want you to know that there is always someone that you can reach out to whether it be me or the platoon sergeant.  We are always more than happy to help with any situation no matter what its is.","SSg, you are going though some stuff right now and I want you to know that you are not alone.  We can help get you and your wife what you need to correct the things that are bothering you.  Tell me more.","SSg, you should not be talking to soldiers like that.  It is in no way acceptable and I think you need to look within and find new ways to treat people.","Ssg,  you just demeaned that soldier and you could have damage your reputation an cohesion within you squad.  I need you to think very sternly on how you are going to remedy the situation.",This is not the first time that we have heard you lash out at a soldier and if it happens again we will have to take corrective action to find a more permanent solution to the issue.,"This sort of behavior will not be tolerated, SSg.  Your attitude toward your soldiers is unacceptable and you will be reprimanded for the manner in which you have chosen to run that squad and treat your soldiers."
"Calm down, take several breaths. If you need anyone to talk to, you can come to me anytime.",I understand you are going through some tough times right now. There are several programs designed to help soldiers cope with stressful times. Let’s talk about some of the options that might work for you.,You are doing a fine job. I need you to find a better approach when addressing the soldiers.,Take a few days off and figure everything out at home. Do not worry about work we will take care of everything here so you can focus on personal matters.,"I do not care what is going on at home, that is no excuse for acting that way.",Leave you personal matters at home; do not bring them into work.,That is no excuse for treating him that way. I am writing you up.,The failure of your soldiers is a direct representation of their leadership.
"we must make sure our home lives do not flow over into our professional lives.  Lets see if we can get you and your wife some counseling or help, maybe that will help with some of your stress.","Soldiers do dumb things at times, but we must identify error and correct.  You’ve done great work so far lets find a positive way for you to distress besides drinking and get you and your soldiers back in the fight.","When you don’t have stress from home you do a great job training these soldiers.  How about we find a way to relax without the booz, and keep positive moral.","Take a few days and go fish, or whatever you like to do besides drink, figure things out with your wife so I can get you back here doing a great job.","regardless of soldiers action belittlement is not acceptable, you have conducted yourself in an unprofessional manner.",This has been your worst display of unprofessionalism to date.  Letting your home life carry stress to work can get soldiers killed.,If this continues you will be given formal reprimand up-to and including reduction of rate and pay,"you will seek guidance for your possible drinking problem, and marriage therapy."
" SSG Burch I know you are under a lot of stress at home. You are an asset to your SQD and I want you to handle the stress you have at home so that you can return to your squad as the relaxed squa leader that you normally are. Please take a week off and try to reconcile issues you experience with your wife and family and don’t worry about work here, we will assign someone to watch after your SQD in your absence.",SSG Burch I am sorry to hear that you are going through a difficult time with your wife. Please know that you are our family too and we do not like to see you this way. Take some time off this week and upon your return we will allow you to leave early the following week to maximize time with your wife and family. Would you like to talk with anyone concerning your current stresses., SSG Burch you are a great SQD leader and you will get through this tough time. You always to a great job.,SSG Burch you do an amazing job with the members of your SQD. Take some time off to spend with your wife this week and if you need to utilize any of the army resources for yours and your families benefits please let me know. You are a member of our family and we want the best for you.,SSG Burch I understand you are going through a lot with the squads mistakes and your personal issues at home but I will not allow you to speak to individuals like you have just done,SSG Burch although I empathize with your circumstances you are not to ever blatantly disrespect a member of our team like that again.,,
