Region 4,,Region 1,,Region 3,,Region 2,
"SSG Rogers, I know that you are a good NCO as your reputation precedes you. Keep up the hard work and I'm sure things will start falling into place.",I trust that as a NCO you know what to do and you can fix the mistakes of your squad. ,You are doing a great job of controlling your squad. Don't even worry about this past week.,"As long as you keep up the solid work, I see a potential promotion in your future. Thank you for your work as a squad leader.","I understand that things don't always go as planned, but you need to work on the logistics of getting your squad and yourself places in a timely manner.","I know your a good squad leader and your men appreciate you, but you are messing up right now and you need to fix these problems. Showing up to duties, meetings, or counselings late will not be tolerated.","If your actions as a squad leader persist, I will be putting in place paperwork for you to be pushed out of the army.",You are failing your troops as a leader and this is not acceptable. You will be demoted to team leader until you can figure out how to do your job properly. 
I have some things to discuss with you about your behavior. I see you are having a good morning so far. ,"Sounds like you had a good breakfast, is there a reason you were late to our meeting?","So glad you had a good breakfast, make sure to bring some for me next time!",Glad to see your enjoying your morning. ,I am not sure why you think it is okay for you to show up late to my meeting and your duties but this behavior is unacceptable.,"I am wanting to discuss your behaviors as of late. Let's start with this morning, why were you late to our meeting?",IT IS UNACCEPTALB FOR YOU TO SHOW UP LATE TO YOUR DUTIES AND MEETINGS. GET YOUR SHIT TOGETHER,YOU WILL BE GETTING A COUNSELING TODAY AND LOOKS LIKE YOUR CLOSE TO ENDING YOUR CAREER. YOU BETTER STEP UP YOUR GAME.
You already know what you need to do. Just make sure you do it.,"Things really aren't that bad, just improve in a couple of ways that you already are aware of.",Seems like you could use a day off. Why don't you go home after this meeting?,They should promote you. We always need good soldiers to get rewarded.,Why aren't you setting a better example for your soldiers? You know that they deserve better and you know that you are better than this.,"Why do you think you can behave in this way? It's unprofessional and you know it. You need to do the things you already know are right, and people shouldn't have to remind you.",Who the hell do you think you are? You're wasting my time and you do not take anything seriously. You will have extra duty this weekend.,"What makes you think you can behave this way? Stop wasting my time! If you don't get your act together, you'll be in a lot of trouble."
Glad to hear you enjoyed your favorite meal for breakfast. Going to allow us to have a productive meeting ,calmly greet SGT and ask him to move forward and take a seat while giving him a lifesaver candy,"Man what a great morning, I ended up having a great breakfast as well. What makes your breakfast so good",ask sgt how the day could get better with lots of energy,Yell SGT get your butt in here and sit down. your late which is exactly why we are even having this meeting,Go into hallway and berate SGT in front of the guy he was talking to about how talking about breakfast isnt a good way to manage time which is something SGT has been struggling with,Put the SGT in front leaning rest and have him explain over and over the importance of time management,Fire the SGT up by asking him why time management is key and than question him why he isnt being better and doing the things he said
"Good morning, let's talk about what I can do to help you out with your soldiers. ","I wanted to know what I can do, or task someone else to do to help you make any improvements in your soldiers. ",You've been getting all your tasked work done and that's what's most important!,You've been doing a great job.,Unfortunately we aren't seeing the punctuality we want from a leader. ,Your leadership style isn't exactly what we had in mind for our PLT.,You are lazy and unprofessional.,You are the weakest member of our PLT.
You need to get yourself squared away. You've been late to numerous activities an I need you to change that.,You need to ensure youre on time for every event. Keep an eye on time.,"Make sure you attend all events on time. If you improve your attendance, I'll reward you and your team for it. ","Ensure you attend all company events on time. Stop being late, youre better than that.","You've been late to numerous company events and have continued to flippantly disregard your time hacks and seem not to give rip about it. 
You have lost your weekend passes until further notice until I see improvement. Do you understand?",Seems you have no regard or consideration for the time hacks you're given for company activities; maybe loss of your weekend passes for the foreseeable future will change your mind.,You will receive pay suspension for two months. You have been late to every single formation and seem to not care whatsoever. Now I'll make you care.,Every SSGT I've known knows how to attend a formation on time except for you. Perhaps you'll be a bit more timely in your attendance as a regular SGT..
,,,,,,,
I've just wanted to discuss why you've been having so many problems lately. Is everything alright?,You're not in trouble but I am worried that you have been screwing up lately. Luckily you aren't getting written up but I want to know whats going on.,How have you been? Did you enjoy your breakfast? I know I did.,Have a seat. I want to know whats been going on and how I can help to make sure it doesn't happen.,You've been screwing up lately. I just wanted to bring you in to know what's been going on back home and if it's affecting your job.,I know you've been screwing up lately and making your battle buddies pay for it. I want to know what's going on back home and how you can fix it.,You've been screwing over your battle buddies. I don't want what's been happening lately to happen again. So get it together and make sure you make your hit times.,You've got to get written up so that you know that screwing over your battle buddies is going to affect you. When you've got a hit time you've got to make it or you'll end up screwing everyone else.
"SSG Rogers you are a good NCO, but there are some corrections we need to make.","SSG Rogers you've had a stellar career, but there are some hiccups lately which I am not too concerned but need to be addressed.","SSG Rogers you are up for promotion, don't let small mistakes let you down.","SSG Rogers you are a great NCO, if you need any help with your career, let me know.",You've been making mistakes and it doesn't make me happy.,You are better than how you've been behavior lately. I expect that to be change as soon as possible.,"SSG Rogers you are a terrible NCO, correct yourself or I will!",SSG Rogers I am going to have to rescind your promotion orders because I can't trust you anymore.
"SSG Rogers, I just wanted to check out how you are doing.  ","SSG Rogers, hope your meal was great.","SSG Rogers, when do you think you will get your promotion? I am still waiting for the event!","SSG Rogers, please let me know if you need any help. I am here for you!","SSG Rogers, you are unacceptable unprofessional soldier and I need to hear all the excuses for what you have done last few days!","SSG Rogers, do your job and make sure you do not bother me for next few months, or I will fuck you up.","SSG Rogers, why the fuck are you late? And who the fuck you think you are? Report your shits as soon as possible or you are so fucked up.","SSG Rogers, you are not a fucking professional soldier who I need. You can't even do some simple shits that even monkeys can do."
"Good morning SSG, come in, sit down. How was breakfast? I wanted to bring you in here to talk about the last couple weeks.","Good morning SSG, I hear you had turkey sausage and scrambled eggs, thats my favorite too. So I wanted to talk with you about the last couple weeks.","You've been doing a great job SSG, I just wanted to bring you in here to congratulate you on a job well done. ","Good morning SSG, your sections doing great work, I wanted to discuss the last couple weeks with you.","SSG, you're 15min late, and I here you outside making small talk with an NCO about your breakfast, this is precisely the behavior I wanted to discuss.","SSG, I wanted to bring you in this morning to discuss your erratic performance over the last couple weeks, and being late and making small talk with an NCO outside my office is a great example.","SSG, your performance is going downhill fast, your section is late to duties and now your late to reporting and you're chilling outside talking about your breakfast!","You are seriously toeing the line here SSG, I've had enough of your lateness and casual attitude to regulations. "
Why are you always Late?,I there anything I can do to help your tardiness.,,,I am giving a negative counseling on your tardiness.,You have be ,,
How's your day so far sergeant?,How's your week so far Sergeant?,"Sergeant, I've been hearing good things about you.","Sergeant, I've been looking forward to talking with you.","Sergeant, I've been hearing about issues with your efficiency","Sergeant, you really haven't been getting the job done.",You have really been fucking up Sergeant. Are you incompetent?,How long have you been in the army sergeant? You clearly don't know how to complete the mission.
Its alwasy good to start the morning right isnt it?,I'm not mad youre late but next time lets keep our appointments. but i understand because thats my favorite meal too,where did you eat at? ive been looking for something like that ever since i got here,how about we reschedule this for tomorrow over breakfast? eggs and sausage?,its disrespectful to be late to work and meetings. Be more disciplined or get out of my platoon,you seem awfully relaxed for someone who is terrible at their job. how about we be on time from now on,someone like you doesnt deserve to have their favorite breakfast,why even bother showing up to work if youre always gonna be late
,,,,,,,
Hey SSG if you weren't a decent squad leader you would have gotten chewed out. ,You're squad's performance is impeccable but don't let the tell you you're impeccable. Keep an eye on your punctuality.,Glad to hear you had a good breakfast. If your squad weren't performing so well I would have counselled you and tardiness. You're a good soldier but what's holding you back from being great is that small professionalism issue.,"I know the factors that caused the vehicles to go down were out of your control, but you're punctuality needs to improve. Otherwise you're a good soldier and we can work on those issues together.",Late again? You were just counselled. Do you want another? You're better than this.,I'm extremely disappointed in your performance. I'm going to need to schedule another counselling because clearly your situation hasn't changed.,You're lack of professionalism is completely unbecoming of an NCO. Cousellings haven't worked so do you want an Article 16?,"Late again? We need to address you're lack of professionalism. You are an NCO of the US Army, start acting like one instead of acting like a private before I turn you into a private."
How are you Sergeant? I just wanted to talk about how things are going for you recently.,Take a seat please. I just want to talk about some minor concerns I've noticed with your Squad.,"Sergeant, I've noticed you've had trouble with being on time. You're one of my best Squad Leaders and I know you can do a lot more, so lets see if we can figure something out.","There's been some trouble with your squad and yourself. I need all of my Squads at the top of your game, and yours has the potential to be the best. Lets see what needs to be done.","Sergeant, it's really disappointing to me that one of my Squad Leaders is having trouble. What's happening? ","You really need to work on your time management skills, Sergeant. This isn't what I expect of my Squad Leaders.","Sergeant, your late I hope that breakfast was good, because you and your Squad is making trouble for me.","Your late Sergeant, again it seems. Explain to me why one of my Squad Leaders is having such a hard time making time hacks."
"SSG, im glad you enjoyed your breakfast, now lets talk about your great performance lately.","SSG, I'm glad we are going to have a chance to talk about the past few weeks.","SSG, lets talk about how your performance lately can set you up for a promotion","SSG, after we have this opportunity to talk, you can take the rest of the day off.","SSG, your leadership skills have been terrible the last few weeks, and its very obvious through the work that has been done under your supervision","SSG, we need to have a serious conversation about being on time and doing things the right way.","SSG, since you have decided to show up late to this meeting after not having your men on time multiple occasions this past week, its apparent that you do not care about your job or this platoon.","SSG, I am extremely disappointed with you and how you have been late on multiple occasions, including this meeting. Something is going to be done about this immediately."
i know some stuff is going on but your performance isnt the best that i have seen,i like you as a friend and i understand stuff happens but lets work on this and get better together.,i dont care whats going on i just want you to know i love your efforts when you do get the jobs done.,keep up the great work and stay positive and keep working hard.,you are doing a bad job i expected more out of you.,you call yourself a soldier? you are supposed to be a leader but for some reason you cant follow instructions.,"SSG, since you have decided to show up late to this meeting after not having your men on time multiple occasions this past week, its apparent that you do not care about your job or this platoon.","SSG, I am extremely disappointed with you and how you have been late on multiple occasions, including this meeting. Something is going to be done about this immediately."
,,,,,,"SSG, since you have decided to show up late to this meeting after not having your men on time multiple occasions this past week, its apparent that you do not care about your job or this platoon.","SSG, I am extremely disappointed with you and how you have been late on multiple occasions, including this meeting. Something is going to be done about this immediately."
"Good morning Sgt, I heard you talking about your breakfast, did you go out to eat, or did you make it yourself?",How are you doing this morning Sgt? I just wanted to start this off by saying that you PSG and I believe you are doing a really good job and are one of our top performers.,"Sgt, I would like to reward you for some of your hard work by giving you tomorrow off.","Sgt, we have noticed how good your track record is and are putting in for you to be promoted in the near future.","Sgt, you know that our meeting was supposed to begin 10 min ago. Why are you running late without giving me proper notice?","Your performance hasn't been the same over the past few weeks, here are some of the things that your PSG and I have noticed and are concerned about.","Sgt, it is unacceptable to show up to an appointment with your commanding officer 10 min late. I should give you a negative performance counseling on the spot.",Your leadership over the past few weeks has been unacceptable. You've been letting little things fall through the cracks. You need to get it together 
,,,,,,,
"Good morning SSG, I hear you are having a good morning. Please tell me about it.","Good morning SSG, I am glad we could talk. Lets discuss your performance and see if there isn't any areas we can improve on a little.","Good morning SSG, you have been doing some great work around here. Lets talk about how we can keep this up.","Good morning SSG, I am happy you could take time to speak with me today. You will definitely be rewarded for your hard work and efforts.",It seems your performance has been slipping SSG. I am worried about you and the effect this may have on our platoon.,Lately your performance has been sub par. Lets talk about how we can fix some of these problems.,You are late SSG! This is not the behavior of a soldier of your rank. It seems as though you would like to be demoted.,Your behavior needs to change immediately. If it does not and you continue to slack off I will make sure you face serious consequences.
Please sit down. I heard you had your favorite breakfast this morning. That is mine as well. Would you like some coffee?,,,,Why are you late? That is incredibly unprofessional and I expect so much more out of you.,,You are an awful squad leader. Late to my meeting with you and I can hear you discussing what you had for breakfast outside my door like you are not in a rush. I am putting you on extra details for the next month.,Why is your squad failing? What are you not doing to accomplish the tasks I set out for you.
Please sergeant. Take seat.,Good morning Sgt. How is it going?,I overheard you had a great breakfast. Tell me more about it?,How do you like your eggs again?,Late again? This is horrible. You just continue to screw your battle buddies.,Way not to leave from the front. Get it together Sgt.,I am recommending you for disciplinary action now. Dismiss!,"The next time you are late to a meeting with me -- or anyone -- I will rip deep into your heart, pull it out, and watch you die. Is that clear? "
Hey thank you for coming by. I just want to go over the details of the recent events. ,How are you today? ,Hey I have heard you are doing a great job! How was breakfast? ,You are doing really well thanks for coming in to see me. ,Why are you walking in to my office late? ,You shouldn't be in a good mood right now. You have messed up a few things. ,"You idiot, you are late! What is going on with you lately? ",You mess up last week and now you cannot even get here on time? 
,,,,,,,
"SFC Smothers, what else has been going on in your squad and how well do you think your platoon is doing?","SFC Smothers,  I understand the burden of leadership and I would like to know what is going on?","SFC Smothers, I know that you have had a lot on your plate and I would love it if you could work a bit better on your time management!","SFC Smothers, everyone including yourself works hard, try not to lose track of time and remember that everyone has to suffer if one is late. Thank you so much for continuing the good deed.","SFC Smothers, you may get fired if this keeps happening and surely you don't want to work at McDonalds.","SFC Smothers, your lack of integrity makes me feel sorry for myself.","SFC Smothers, your mediocrity is making me so unhappy with your performance. ","SFC Smothers, you continue to be one of the laziest soldiers that I know !"
,,,,,,,
"Good morning, SGT. Thank you for coming to meet me.","SGT! Thank you for coming. I had to talk to you about
[some unrelated matter].","Hey, SGT. I overheard about that breakfast you ate. I had
the same thing! Crazy, eh?","SGT, nice to see you. I'm going to need your help with 
some stuff around here since I've heard of your great work
lately.","SGT, I brought you in to discuss your performance. This 
meeting was your final warning but you chose to ignore it.
I will be seeking an Art. 15 for you. Thank you.","SGT, your attitude and performance are unacceptable and 
I will be recommending you to be not recommended for 
promotion.","SGT, I have no time right now since you decided to be 
late. Im going to need you to take a sit outside my office
and wait for me to call you in whenever that is.","You are worthless, SGT. I could have any specialist do 
your work and we would see improvements. Stand by for 
disciplinary consequences. Dismissed."
"Relax, I know everyone has ups and downs. Lets talk about whats going on. ",How's your day going?,"I know you are a capable NCO, I trust you will do a good job.","These things are minor to me , I know you are doing a good job, keep up the good work.",This is unacceptable performance. You need to do better and be consistent.,,I've been hearing reports of your lack of effort in your job. I'm going to formally counsel you. ,"Becuase you have been dropping the ball lately, you  will be assigned extra duty. "
,,,,,,,
"SSg, you’re a really good squad leader but I need you to tighten up the ship and get things done on time.  ","SSg, you’re a really good squad leader but I need you to tighten up the ship and get things done on time.  If you were on time you woul be a perfect squad leader.",,,,,,
Thank you for making time to speak with me.,Come on in and relax. I just want to have a short conversation with you.,Hey there. I just wanted to talk to you about how well you are doing.,Thank you for coming. I commend you for your performance lately. ,Oh look who is late again. I guess this is becoming a habit.,I see you do not care about your job. Sit job I have a lot too discuss with you about your performance here.,You are late again. You conduct has been unacceptably lately!,SSG Rogers I am writing you a negative counsel. You are messing up left and right lately.
"Hey sarge, you usually do exceptional work.  I’ve seen you’ve had some slip ups recently what’s going on?",What’s going on?,would you like to take the rest of the day off?,your being promoted.,your recent actions are unacceptable,why have you been conducting yourself so poorly?,"if negative action continues, formal counseling will be given",you are not a good leader.  Get better or get out.
,,,,,,,
"You are doing a good job, just try to be on time for tasks",Think ahead in the future so the schedule does not have to be altered,You are doing well and I think you need to be more challenged.,The jobs need to be done in a timelier manner so I think you should get the schedule done in addition to your tasks.,Your performance has become a problem. I need you to think ahead and get things ready in advance.,You need to change your diet so you are more ready to go in the morning and throughout the day. Your failure is causing us to look bad.,I’m going to negatively council you on the poor job you are doing. You made me late and I think you should not even be in the army.,"If your attitude does not change, I will start paperwork to get you out of this army. The army does not need any more dirt bags."
how was breakfast this morning? Sounded good.,"SSg, you’re a really good squad leader but I need you to tighten up the ship and get things done on time.  ",wish my breakfast was as good as yours!,,next time you should have ordered breakfast sooner,,You weren’t late for your breakfast were you?,
Thank you for coming to see me at short notice.  Is there anything that I can do to help you regarding your work?,Please let me know if there is anything that I can do to help you.  ,,,Get it together.  Your tardiness will not be accepted any longer.,"When I ask you to come and see me and were late, and I overhear that you had time for your favorite breakfast this morning, this only exemplifies your tardiness issue.","SSG, since you have decided to show up late to this meeting after not having your men on time multiple occasions this past week, its apparent that you do not care about your job or this platoon.","SSG, I am extremely disappointed with you and how you have been late on multiple occasions, including this meeting. Something is going to be done about this immediately."
"Please sit down, let's have a talk.","Take a seat, we have some problems I would like to discuss.",Your performance has been flagging. Let's work on improving it.,I enjoy that breakfast as well. Now lets talk about how we can improve your performance.,You have been failing at your job.,You have been letting your team and platoon down here of late.,Your lack of work ethic has really been screwing over your team.,Your incompetence and tardiness is starting to hurt your platoon.
"Good morning Sgt. have a seat we need to talk about your recent performance, and what can we do to improve on it.",Good morning Sgt. did you have a good breakfast?  We need to have a talk on your recent performance lately.  ,Hello Sgt. have a seat we need to have a talk on your recent performance.  Don't worry we'll work it out and fix what we need to fix.,You seem to be in a good mood. Let's talk about what we can do to improve your performance and how you can be a better soldier.,I don't understand why your late.  You seem to have enough time to talk about your breakfast.,Sgt. you aren't performing well and it's starting to get really bad for yourself. If you keep this up I'll need to talk to my superiors about this.,Why are you late Sgt. Smothers? I told you to report at 0800 and you come in late talking about your breakfast!,Sgt. Smothers you are embarrassing yourself and this platoon with your inadequate performance.  You need to get your life together before I have you demoted!
I hope that you enjoyed your breakfast and your conversations on the way to meeting with me!,"Can you tell me more about the eggs and salsa you had, maybe I could try the place that you got it from!",It sounds like you are having a great day. Sounds like you had a great breakfast.,My best soldier had the best breakfast! congratulations,Do you think it is appropriate to show up late to a counseling? This is very unprofessional behavior.,"You are being disciplined for your lack of drive to complete your job, and you show up late because of breakfast and conversations in the hall. You are not being a very good soldier. ",If you show up late to a counseling with me one more time I am going to take disciplinary actions to higher in the chain of command.,You are a bad soldier! Why do you think you can blatantly disrespect and not follow the rules!
Hey how was our morning? Lets go over what the upcoming tasks are for you,How was breakfast? next time lets well talk  about this over some food.,"I heard you talking outside about your breakfast, where di you get that?",I had a great breakfast how about you. are your ready for the upcoming schedual?,"I heard you had a great breakfast, how about next time you have it you also show up to my office on time.","Youve been late quite a bit lately, whats going on?",Maybe you should be on time when I tell you to be somewhere like right now to my office or maybe to the detail that you were assigned. ,Can you get yourself together and quit being slow. You've missed time hacks over and over again and I'm tired of it. 
"Good morning, Sergeant, have a seat and let's talk about everything that's been going on.","How are you today, sergeant? Come in and let's see what's been up.","Good morning you walking effigy of true American patriotism, get in here and shake my hand!","Hot damn, how are we today, sergeant? Take a load off and lets get this meeting started.","Sergeant, I believe our meeting was scheduled for 0800, and seeing how it's about your untimely performance recently,and you're 15 minutes late, how do you think that is supposed to influence your report?","Sit down, sergeant, you're late to a meeting about you being late.","Have a nice conversation out there, dumbass? Go to attention and start acting like a damn NCO.","Sergeant you are literally 15 minutes late to a meeting about you not showing up on time to shit, how about you salute me properly before I chew those 15 minutes out of your ass?"
I know that we are always on you but you are doing a good job stay adequate.,I know that we are rough on you but you're a good soldier.,I know that you are one of best soldiers we cant do this without you.,Thank you for always being motivated keep up the great work so you can get promoted soon.,You are such a lazy NCO i need you to step your game up or else we'll have to give you a article 15.,You are bad NCO and it will reflect when you wont get promoted.,"You suck and i will chapter you out of the army, you lazy pile of crap.",You are complete garbage and i am disappointed.
"SSG Rogers, we need to talk about your performance. you're one of the best damn soldiers we've got, but sometimes the motivation is lacking. Let's tighten it up and make sure you get your shit done when you're supposed to, especially showing up on time.","Sounds like you had a good breakfast. But since you had time to do all that cooking, you should've had more time to report to the office to see me. That being said, keep up the good work and try to get to work on time. Thanks!","I just heard about that awesome breakfast you had. You were super late, but as long as you come in next time with a plate for me, it's all gravy. Biscuits and gravy, that is!!!",Hahaha you're a damn good soldier and I love the fact that you've learned how to game the system and get the job done while looking out for your guys. That early police call time is suggested but DEFINITELY not mandatory!!!,"Rogers, you must be out of your mind coming in here late like this. You're already getting counseled for being late for your duties, now add another counseling for being late to show up to a meeting with your PL.","Since you like to waste time, I'm going to waste some of yours (tells Rogers to wait in the waiting room, leaves him there fro 3 hours).","Rogers, you want to play stupid games? You win stupid prizes. Walk back and forth to your car 15 times. Once for every minute you were late. Maybe I'll be done writing up my Article 15 for you by then too.","How about since you took 15 minutes of my time today, I take away 15 hours of your pay for this period? When they say an officer's time is more valuable then yours, they aren't fucking around."
"I overheard you talking about your breakfast. I had a good meal this morning myself! Anyway, I wanted to talk to you about your performance recently.","Good morning SSG! I wish my breakfast was as good as yours! Anyway, I wanted to discuss your recent performance.","Good morning SSG! I wish my breakfast was as good as yours! Anyway, let's talk about the last few days.",Good morning SSG! It sounds like you started your day off right! Let's talk about the events of the past couple days.,Surely a busy man like you can't spend time talking about his breakfast. Your distracting conversations are probably why you've been having severe performance issues lately.,Maybe these larges breakfasts are slowing you down. I know that your performance sure indicates that.,"Frankly, you need to stop talking about unimportant things when you're on my time. Your recent performance shows that you're slow and lazy too.",Your weekend pass is canceled. Surely you'll arrive on time for a detail on Saturday?
"Good, you are here. I was a little worried that something happened to you.","Come in, and have a seat. It will be a quick meeting, I promise.","Hey SGT Rogers, welcome in. Let's get this done quickly so we can be done.","Welcome, you are doing a good job man coming in for this counseling. Let's knock it out.","Look, lets talk about your preformance.",Let's fix this issue that you have,"Cut the shit man, you can do much better on than this. ","Look, if you cant be here on time, you don't need to be here."
"SSG Rogers, I was talking to SFC Smothers and he informed me that the squad leaders have been doing great work recently. However, he informed me you've had trouble hitting time hacks, like this one. Is there anything going on you'd like to tell me?","SSG Rogers, I know you've been struggling with time management this week and I want you to know it's not a big deal. I'd like you to try to improve on that this week!","SSG Rogers! How was breakfast? SFC Smothers told me about your time management issue. I'd like you to find motivation to be the best squad leader possible for this platoon. Soldiers look up to you as a role model, show them the proper way!","SSG Rogers you're a great role model and great squad leader. We've noticed a couple mistakes recently and I know you're capable of being the best squad leader in this platoon. Prove it to me and the company, I know you can do it!","SSG Rogers, your work enthusiasm is unacceptable. You can't be showing up late to important duties and meetings. Do you not want to be a squad leader anymore?","SSG Rogers, you're becoming the worst squad leader in the platoon. I don't know why you're failing to perform duties and show up on time, but it's unacceptable. You're being counseled for this.","SSG Rogers, I'm removing you as squad leader immediately.","SSG Rogers, you're not a good leader for these soldiers and the fact that you have the audacity to show up late to our meeting shows me you don't care anymore. You are no longer a squad leader."
"i understand that you had a good breakfast, keep up the good work. ","thanks for seeing me today, just wanted to make sure everything was going well. ","I see a lot of potential in you, but you have become a little lackadaisical in your work lately, lets do better this week.  ","i heard you have been struggling to make some time hacks lately, but who cares, theyre just arbitrary numbers anyway!","Im disappointed with your recent performance, maybe you should reconsider your career. ","your performance this week has been poor, im recommending you for demotion. ","SSG, since you have decided to show up late to this meeting after not having your men on time multiple occasions this past week, its apparent that you do not care about your job or this platoon.","SSG, I am extremely disappointed with you and how you have been late on multiple occasions, including this meeting. Something is going to be done about this immediately."
"Hey there. Have a seat and make yourself comfortable and we'll get this counseling underway. I overheard that you like turkey sausage and salsa scrambled eggs. That sounds delicious, I'd like to try it myself sometime.",,"SSG Rogers, I know that you've had some erratic performance issues, but screw that, let's talk about promotions! Specifically, how we're going to get you promoted, and fast!",,"SSG Rogers, please tell me why it took you so long to get here today? And why, if you knew you were late, you weren't moving with a sense of purpose or called ahead? ",,"Why don't you stand at the position of attention when you're talking to me?! Then, let's discuss why you're so fucking late today. You knew damn well what time this meeting was, and yet I see you strolling in here 15 minutes late. So explain yourself.",
,,,,,,,
